date,CI005001.WI,CI005002.WI,CI005003.WI,CI005004.WI,CI005005.WI,CI005006.WI,CI005007.WI,CI005008.WI,CI005009.WI,CI005010.WI,CI005011.WI,CI005012.WI,CI005013.WI,CI005014.WI,CI005015.WI,CI005016.WI,CI005017.WI,CI005018.WI,CI005019.WI,CI005020.WI,CI005021.WI,CI005022.WI,CI005023.WI,CI005024.WI,CI005025.WI,CI005026.WI,CI005027.WI,CI005028.WI,CI005029.WI
2006-4-7,-0.64102175,-1.363092521,1.578190939,-2.13967175,-1.202185367,-1.458280245,-1.804953752,-1.31285285,-2.122541674,-1.147379535,-0.658094446,0.444487074,-1.698887057,-0.601341856,-1.931018538,-1.87437079,-1.907116168,-1.990558327,-0.312206069,-1.877761144,-0.927845685,-0.546543842,-0.109625982,-1.333787001,-1.87191953,-1.613712649,-2.066172161,-2.040451559,-2.235058483
2006-4-14,-0.214733953,-1.383518452,0.681618509,-2.187133036,-1.320383538,-1.385380084,-1.790487154,-1.287756503,-2.144567443,-1.084616396,-0.536916783,0.868302829,-1.680123168,-0.484568068,-1.945950864,-1.915023719,-1.954957937,-1.892140528,-0.300931445,-1.797557846,-0.71242768,-0.005459318,-0.268754506,-1.417841339,-1.944017235,-1.63146237,-2.082546926,-1.813028613,-2.261995823
2006-4-21,0.742832165,-1.373026839,1.752737736,-1.950611687,-1.327867139,-1.432678841,-1.800158795,-1.241157755,-2.079347479,-0.809054572,-0.058765316,1.306787714,-1.72661589,-0.338156106,-1.928353327,-1.972238733,-1.971144461,-1.86835457,1.047923008,-1.545580724,-0.686541592,1.421828808,-0.339283698,-1.351992222,-1.951102778,-1.645417711,-2.048221142,-1.013954065,-2.279790726
2006-4-28,0.655356223,-1.359699826,2.692880782,-1.840742988,-1.208778143,-1.419870124,-1.656976057,-1.216257571,-1.926533862,-0.457722415,0.780429999,2.315601698,-1.733475662,0.750392898,-1.80295518,-1.986575099,-1.750288691,-1.715918897,1.861839094,-1.123867739,-0.187010138,2.880849327,-0.503284968,-1.349822779,-1.759823949,-1.667714447,-1.723084028,-0.438668607,-2.027217232
2006-5-12,2.297736827,-1.255446633,4.940754275,-1.976372685,-1.410685563,-0.835562747,-1.149026271,-0.640218224,-1.792019704,0.588373889,2.237446266,3.872994944,-1.414766274,2.676026002,-1.585916499,-1.881614401,-1.802952453,-0.981896652,3.807495246,-0.087084263,0.149507928,4.244136662,-0.283362902,-1.582103351,-1.352174424,-1.639861169,-1.992232347,0.950968667,-1.840037075
2006-5-19,1.986563074,-1.117429706,2.533619379,-1.691096035,-1.424736276,-0.123702718,-0.919515122,0.11314047,-1.536096335,0.57754545,2.314920996,5.551638287,-0.764908504,3.895931537,-1.203991131,-1.2418971,-1.318136094,-0.066161339,4.259407008,0.923443936,0.104643057,6.363674823,-0.009702151,-1.563721075,-0.538177612,-1.608640864,-2.014143902,1.060526024,-1.629366956
2006-5-26,1.288982565,-1.136895649,1.174503877,-1.827669208,-1.48537137,-0.339086198,-0.946061657,0.096970577,-1.659290469,0.728932982,1.225162636,2.262846055,-0.989601788,2.213983475,-1.35601638,-1.560775281,-1.322975412,-0.429730895,1.614847489,0.41628815,0.180372962,3.272491999,0.128363135,-1.618774799,-1.165482803,-1.732863292,-2.018956733,0.30613627,-1.566352058
2006-6-2,0.992153239,-1.048328398,0.977122441,-1.511608374,-1.399171603,0.254549477,-0.274016326,0.867204767,-1.182560324,1.483972779,1.837754626,3.901223288,0.123992633,3.123732683,-0.543350908,-1.035863061,-0.557252564,0.407080149,2.548104535,1.055177417,-0.111541698,3.783853986,0.263159222,-1.44378803,-0.777606911,-1.737749374,-2.072022068,0.843651651,-0.963029758
2006-6-9,0.102511469,-1.312333133,-0.017041757,-1.963627129,-1.555273603,-0.798988267,-1.092073303,-0.198021565,-1.839605624,0.063121323,0.289044895,1.385663419,-0.807342687,0.961836435,-1.434143576,-1.906872875,-1.491283624,-0.809188476,0.783156021,-0.471340077,-0.78113426,0.946532104,-0.387555221,-1.523841489,-1.947002556,-1.77399434,-2.098250944,-0.317581796,-1.235359905
2006-6-16,0.167953737,-1.340309012,-0.032025629,-1.909671366,-1.577757335,-0.562252935,-0.883175944,-0.077159141,-1.651719337,0.543738702,0.701230889,1.45626961,-0.41235969,1.265672831,-1.122784829,-1.779971767,-1.343336714,-0.337618155,1.381334988,-0.082191126,-0.750909962,1.083740577,-0.12610264,-1.515777316,-1.879562939,-1.795122377,-2.123016858,-0.0851409,-1.16832459
