date,CI005001.WI,CI005002.WI,CI005003.WI,CI005004.WI,CI005005.WI,CI005006.WI,CI005007.WI,CI005008.WI,CI005009.WI,CI005010.WI,CI005011.WI,CI005012.WI,CI005013.WI,CI005014.WI,CI005015.WI,CI005016.WI,CI005017.WI,CI005018.WI,CI005019.WI,CI005020.WI,CI005021.WI,CI005022.WI,CI005023.WI,CI005024.WI,CI005025.WI,CI005026.WI,CI005027.WI,CI005028.WI,CI005029.WI
2006-4-7,-1.202393865,-2.302400687,0.993203463,-2.425408078,-2.921718098,-2.196281967,-3.38873123,-2.41441556,-2.966424472,-2.34013885,-1.457772567,0.104719842,-3.46425738,-1.364647734,-3.014677259,-2.936968935,-3.200773443,-2.916054084,-1.588192005,-3.265548728,-0.549166845,0.171539753,-1.082406928,-1.629844681,-3.185111282,-3.864390428,-3.194299181,-2.745561418,-3.41471204
2006-4-14,-0.524045625,-2.185795297,0.1248152,-2.5160545,-2.566765132,-2.059845021,-3.102311388,-2.027038592,-2.940961004,-2.122701484,-1.058799339,0.505149141,-3.14537961,-1.058454648,-3.047836408,-2.843233317,-3.191329029,-2.772994932,-1.125490311,-3.081656323,-0.101767935,0.685394842,-0.969287195,-1.777790961,-2.887164938,-3.932357559,-3.165280256,-2.527843827,-3.369492533
2006-4-21,0.422549249,-2.12281337,1.029595675,-2.482882897,-2.594997689,-2.19532016,-3.146165172,-2.016970579,-2.966314571,-1.905243374,-0.804000112,0.73003911,-3.253097846,-0.972622374,-3.080295446,-2.982252215,-3.206645093,-2.776649458,0.922076535,-2.862110875,-0.058901219,1.664455019,-0.919218551,-1.762761654,-2.941615389,-3.974022244,-3.044102133,-1.814592238,-3.391106368
2006-4-28,0.392092237,-1.902672167,1.598692061,-2.469252534,-2.317600166,-2.079297484,-2.747364607,-1.763412918,-2.545015176,-1.543400274,0.010514501,1.144835115,-2.832963218,0.131654076,-2.980765,-2.565840425,-2.971555023,-2.762554611,1.551692381,-2.329482334,0.420030741,2.230122046,-0.688038431,-1.768309228,-2.937371489,-3.62933809,-3.005032284,-1.093948926,-3.007589938
2006-5-12,1.529651512,-1.800851204,2.122506809,-2.540985726,-2.489665651,-1.305121448,-1.797919099,-0.757225629,-2.057775227,-0.259061748,0.978009269,1.58771182,-1.956283766,1.404126875,-2.67715741,-1.91077559,-2.75613588,-1.856515417,2.245734435,-1.15891168,0.572431869,2.572619243,-0.446802402,-2.202079595,-2.000777671,-2.767142728,-2.951031357,0.141444293,-2.583313308
2006-5-19,1.353328582,-1.679010506,1.611928345,-2.342689711,-2.273710305,-0.755474444,-1.656378765,-0.064208755,-1.728814709,-0.523500236,0.631874291,1.647731593,-1.206120389,1.44404192,-2.355245803,-1.128679928,-2.036450514,-1.14161168,2.184083528,-0.38464211,0.537684261,2.83981538,-0.325635578,-2.394217021,-1.361401971,-2.639097073,-2.965930819,-0.018881292,-2.22630831
2006-5-26,0.665316879,-1.755286303,0.929239748,-2.445649751,-2.33276596,-1.009743345,-1.927093561,-0.325464045,-1.961503305,-0.752702316,-0.062336719,0.927796572,-1.543859016,0.772641079,-2.569764184,-1.436592243,-2.367254195,-1.553256726,1.246269209,-1.095837213,0.612319251,1.85664078,-0.328753018,-2.313896179,-1.809569605,-3.062060222,-2.933105687,-1.06464905,-2.210031942
2006-6-2,0.443003595,-1.623253944,1.18868589,-2.019823998,-2.094656708,-0.367150131,-1.206238772,0.386574969,-1.373999124,-0.202531385,0.561328519,1.636579559,-0.237592887,1.528176859,-1.498441945,-0.713865651,-1.44572374,-0.852719936,1.851677528,-0.75894906,0.361991708,1.788452057,0.135073872,-2.374238892,-1.012889893,-2.831115471,-3.00788915,-0.612856865,-1.287196028
2006-6-9,0.281950692,-1.90121868,-0.060155955,-2.363911624,-2.469507835,-0.951510813,-1.345121072,0.093982298,-2.0466632,-0.891017457,-0.1533559,1.217038577,-0.844623611,0.429545117,-1.669346688,-1.199681276,-2.311321398,-1.794782151,1.491981227,-1.446963181,-0.478360389,0.611443718,-0.359974351,-2.395950237,-1.816599195,-2.507716912,-2.775486371,-0.815479349,-0.665286452
2006-6-16,0.455150698,-1.924189299,-0.132880974,-2.294923293,-1.949146479,-0.965468693,-1.192070163,0.027769317,-2.179251899,-0.518753926,0.332397678,0.911830864,-0.839718359,0.506473504,-1.572212849,-1.267459245,-2.034445835,-1.717582324,1.594848684,-1.289128975,-0.510980312,0.975000156,-0.176948339,-2.417354367,-1.618411949,-2.118667182,-2.69443706,-0.499734663,-0.961432978
