dateline,CI005101.WI,CI005102.WI,CI005104.WI,CI005105.WI,CI005106.WI,CI005107.WI,CI005109.WI,CI005110.WI,CI005111.WI,CI005113.WI,CI005117.WI,CI005122.WI,CI005124.WI,CI005127.WI,CI005129.WI,CI005133.WI,CI005134.WI,CI005135.WI,CI005136.WI,CI005137.WI,CI005138.WI,CI005139.WI,CI005140.WI,CI005143.WI,CI005144.WI,CI005145.WI,CI005146.WI,CI005152.WI,CI005153.WI,CI005154.WI,CI005155.WI,CI005156.WI,CI005160.WI,CI005162.WI,CI005163.WI,CI005164.WI,CI005165.WI,CI005166.WI,CI005168.WI,CI005170.WI,CI005171.WI,CI005172.WI,CI005173.WI,CI005178.WI,CI005181.WI,CI005185.WI
2006-4-7,,-0.543386846,-0.764781311,-1.840883817,-0.193444598,1.125948534,-2.104207676,-1.824308009,-1.39780952,-1.032712068,-1.444182171,-0.704786015,-1.252273205,-2.041185562,-1.619733272,-1.197717806,-1.187294934,,-2.237761905,-1.789215384,-1.7306219,-1.617165947,-2.599443425,-1.630794202,-1.741927754,-1.545015558,-1.069066882,-1.048490859,-1.691130606,-2.059288762,-1.677307637,-0.529218177,-1.578064667,-2.105473748,,0.573021982,-2.551495258,,-0.962880423,-2.058148461,-0.426193097,-0.758509461,-1.11724379,-2.341332276,-1.946502661,-1.81474681
2006-4-14,,-0.051946874,-0.331263527,-1.322517028,-0.112247738,0.629199777,-1.917045381,-1.812956782,-0.799804122,-0.930102685,-1.23118966,-0.678393855,-1.234148378,-1.973521693,-1.734224161,-0.608496337,-0.774076213,,-1.841938951,-1.2396444,-1.629002943,-1.421726776,-1.515178052,-1.878429685,-0.511421385,-1.282838399,-1.693892397,-0.597638367,-1.009613103,-1.965416129,-1.502548967,-0.459508927,-1.324845868,-2.097433631,,0.515816254,-2.580893355,,-0.654781339,-2.149620942,-0.284811644,-0.382591872,-0.729565337,-1.998435506,-1.97374066,-1.705467124
2006-4-21,,0.226807558,-0.462523387,-1.557902972,-0.476484179,1.455988097,-1.805212803,-1.143303364,-0.208521807,0.260585073,-1.502012245,-0.515010084,-0.765274466,-2.048206708,-1.77030296,-0.668834339,-0.254997499,,-1.814218377,-1.340540928,-1.509828987,-1.279733959,-1.693203978,-1.627922893,-1.101110046,-1.517185229,-1.928974872,-0.709302756,-1.12485329,-1.808646695,-1.38434571,0.353643519,-0.894643601,-2.065262637,,0.614206811,-2.57311367,,-0.711670722,-2.123862873,-0.26098413,-0.334744953,-0.763187605,-2.077405497,-1.936589529,-1.848156483
2006-4-28,,0.263985111,0.555480795,-1.486168005,-1.055392147,2.15935759,-1.75800711,-0.294185557,0.04453947,0.590836366,-1.490539553,-0.373519984,-0.7595066,-2.044658411,-1.255995989,-0.23823401,-0.443524988,,-1.764015057,-1.451639045,-1.360301823,-0.564926222,-1.872435253,-1.42795656,-1.237464044,-1.353957396,-1.93983218,-0.418901367,-1.265858529,-1.808934205,-1.319125761,0.504491134,-1.195016405,-2.086530789,,1.504311314,-2.444985747,,-0.655562554,-1.190903648,-0.681785695,0.271517203,-0.573949692,-2.126548863,-1.819018106,-1.895535166
2006-5-12,,0.854197993,0.790952465,-0.396046604,-1.067338906,2.269211229,-0.443582899,0.046695933,0.553766335,1.91163875,-0.460954733,0.679014826,0.723037413,-1.456066869,-0.469991005,0.690590337,-0.616411431,,-0.907972939,-0.836096117,-0.069978808,0.886453765,-1.332028127,-0.938884128,-1.009546402,-1.096111361,-1.413252271,0.917880637,-0.441186349,-1.453296713,-0.704496772,1.199014186,-0.269807826,-1.538590417,,2.189673693,-2.452484935,,-0.073897333,-0.083884073,0.074602363,1.374946061,0.230276513,-1.718416836,-1.532120089,-1.218796667
2006-5-19,,1.181893743,1.262801807,0.164567021,-0.96201015,1.406261992,0.164805147,-0.542063178,2.096366069,2.273327392,-0.003192645,1.652574977,0.460866899,-1.196884718,-0.39263573,1.435132131,0.737437599,,-0.2242913,-0.304548035,-0.064751805,0.129494507,-0.066396448,-0.863628576,-0.27768861,0.34168769,-0.007301122,1.365959793,0.184427234,-1.021356521,0.108137541,1.10504217,-0.163479207,-1.088940987,,2.218238016,-2.036297761,,-0.200013051,0.602968339,0.392491234,1.230636768,1.50440456,-0.316080529,-0.969324316,-0.481199478
2006-5-26,,0.700739249,-0.336841806,0.412814551,-1.185793275,-0.059266542,-0.796062795,-1.299577817,1.466844964,0.970231589,0.079359758,0.332708167,-0.194636912,-1.282407492,-0.814258334,0.311035401,1.020138026,,-0.296339616,-0.435093815,-0.575593211,0.212196509,-0.331884576,-1.017930339,0.21257888,0.348151597,-1.116798783,0.585427058,-0.157186201,-1.420988364,-0.656575035,0.073105021,-0.370747976,-1.294103742,,1.749417345,-2.081511233,,-0.707232859,-0.755011654,-0.569594734,0.087520587,0.808075922,-0.328886975,-1.868840392,-0.696521189
2006-6-2,,-0.007845442,-0.419583884,-0.086959444,-1.476433261,-0.677399131,-0.513023724,-0.41397811,1.150122612,0.087695142,1.352637326,0.883307483,1.212902844,-0.973527813,-0.957141499,0.821767244,1.816536957,,-0.103890883,0.754190349,-0.460682365,0.252717392,-0.286800401,0.831943328,0.534598666,0.443109333,-1.171332022,0.892071507,0.298353749,-0.810390348,-0.882278559,-0.546262602,-0.659058314,-0.249428614,,0.766022778,-2.103993236,,-0.370804441,0.125000145,0.679373463,1.015419937,0.867627716,-0.248970373,-1.654338556,0.00715602
2006-6-9,,-0.59531741,-0.552069037,-0.792112789,-1.63718401,-0.304072952,-1.063738656,-0.796750578,0.495894365,0.359620634,1.526940792,-0.215009381,0.52960993,-0.782400236,-1.742079413,-0.036933852,1.05625838,,-0.319540974,0.480618451,-1.550281818,-0.425282202,-0.908742272,0.229952602,-0.115776498,0.332801669,-1.976097676,0.213170106,-0.708472975,-1.167231786,-1.50457241,-1.502886628,-0.515806278,-0.577116558,,0.965757642,-2.46289609,,-0.35925592,-0.979123273,1.48863295,0.864981754,1.306742172,-0.647356326,-1.773131687,-0.380306294
2006-6-16,,-1.041055746,-1.274841817,-1.688406938,-1.514569296,-0.40922998,-2.143246051,-2.458012983,-1.079181208,-1.335537374,-0.024598156,-1.359191554,0.250094122,-1.940507618,-2.442742427,-0.292737207,0.110205855,,-0.394459119,-0.818517088,-2.12113589,-2.061469786,-1.808255343,-0.664672036,-1.517518841,-0.640935883,-2.082799709,-1.158751669,-1.666808091,-1.774861424,-0.867429973,-2.443821656,-1.915223473,-1.165044873,,-0.329132127,-2.452781575,,-1.694320015,-2.446272128,0.514493223,-0.49985515,0.006176964,-2.022780581,-2.167958212,-0.9962603
2006-6-23,,-1.008293297,-1.327448955,-1.485824721,-1.421765749,-0.841213602,-1.892684574,-1.247114207,-1.619185339,-0.911684719,-0.040508692,-1.626078459,-1.038911258,-1.833136144,-2.344244733,-0.319186696,0.051585812,,-1.193921913,-1.057574569,-1.898080212,-2.116809722,-1.595391633,-0.605898444,-1.222113222,-0.885607689,-1.627475753,-0.851367832,-1.559934212,-1.947661924,-1.096242147,-1.703542073,-2.287605052,-1.507295038,,-0.652172362,-2.030714893,,-1.717369719,-1.322134946,-0.03597618,-0.678597004,-0.373363127,-1.580014291,-2.379548438,-0.883092162
2006-6-30,,-1.539752032,-0.786654576,-0.913792255,-1.486915326,-1.01742998,-1.585746739,-0.781083883,-1.086513487,-0.45992378,-0.167843618,-0.551826297,0.604063488,-1.430674011,-2.326458429,-0.512262019,-0.275044705,,-1.643911971,-1.007773383,-0.988020515,-1.561872836,-1.752864306,-0.371338652,-1.738494529,-0.770558249,-0.140424455,-0.907369553,-1.398560815,-1.787258249,-1.44564184,-0.175292461,-1.485052437,-1.848877733,,-0.989877552,-2.024379943,,-1.94685063,-0.469930389,-0.703447984,-1.38223366,-1.51513176,-0.845530924,-1.849763754,-0.504690953
2006-7-7,,-1.54323665,-1.20320462,-1.463138161,-1.194246432,-0.489479982,-1.614127192,-0.798499076,-1.482573707,0.680922952,0.698463696,-0.417589709,1.633463995,-1.02649049,-1.283631951,-0.02335054,-0.52188385,,-1.51163999,-0.149558531,-0.711894441,-0.995556466,0.103586186,-0.313846947,-1.651590934,-0.445224862,-1.036390416,-0.399685384,-0.736057549,-0.936807477,-1.442782601,-1.665479206,-1.165942005,-1.95021316,,-0.517301822,-1.921180349,,-1.359942068,-0.654415796,-0.608324914,-0.803379984,-0.803498334,0.836084084,-0.787808748,-0.456537772
2006-7-14,,-1.654666943,-1.242371587,-1.526298799,-1.398668413,-0.633280991,-1.601149717,-0.829816625,-1.654088144,0.63677253,0.594754573,-1.015720755,1.823467644,-0.975900601,-0.973417951,0.606273584,-0.475849367,,-0.947919561,-0.58249546,-0.684132482,-0.485113819,-0.846353066,0.229165047,-0.881407694,-0.585010327,-1.189530223,-0.467494003,-0.983451853,-1.335165724,-1.415607918,-1.54812162,-0.560334144,-1.381480635,,-1.124388336,-1.876117798,,-0.913198069,-0.834029083,-0.715443195,-0.782238267,-0.644501166,-0.27016352,-1.082693386,-0.70309759
2006-7-21,,-1.541185305,-1.610576985,-1.679699447,-1.17477747,-1.237786006,-1.754447374,-1.311616788,-1.899697107,0.29294564,-0.323815679,-1.617679369,0.47088207,-1.476668623,-1.610800209,-0.878165588,-1.116413207,,-1.607645841,-1.065692995,-1.40362658,-1.769707084,-1.029236723,-0.671425517,-1.535526824,-1.365138463,-1.878778768,-1.179001369,-1.585250253,-1.857183777,-1.533771531,-1.770489305,-1.443620865,-2.04199867,,-1.278232173,-1.88345775,,-1.138427985,-1.199498648,-0.9264712,-1.112566409,-1.470932917,-1.330329463,-1.559420923,-1.764244168
2006-7-28,,-1.606594041,-1.709340322,-1.69651406,-1.370623886,-1.336210749,-1.858315757,-1.733870951,-1.902293812,-0.64535328,0.043425597,-1.591637487,0.220565404,-1.508261878,-1.305496411,-1.496709756,-0.847519141,,-1.74045875,-1.527440796,-1.484662256,-1.624813069,-1.533114037,-0.72748996,-1.623980444,-1.28728121,-1.936048712,-1.052339303,-1.653666152,-1.928814525,-1.459090649,-1.77192566,-1.486505114,-0.775203922,,-1.339809209,-2.069747033,,-0.968125704,-1.391937431,-0.83734491,-1.260936423,-1.948823043,-1.218107331,-1.742391682,-1.772513383
2006-8-4,,-1.639549797,-1.735886138,-1.753114859,-0.790283121,-1.35756795,-1.878819911,-1.815584422,-1.914960502,-0.685123994,-0.712605886,-1.621535563,-0.238259175,-1.607355277,-1.602019901,-1.746594847,-0.968540292,,-1.80800111,-1.634888954,-1.573499322,-1.671461569,-1.597206633,-0.969582985,-1.673435342,-1.349063638,-1.941382814,-1.301551427,-1.680249907,-2.02760931,-1.712764623,-1.857188521,-1.635025116,-1.297479326,,-1.379871691,-2.20000351,,-1.262187413,-1.451654366,-1.029170346,-1.330805474,-1.900135132,-1.460010491,-1.752149357,-1.875762734
2006-8-11,,-1.641960506,-1.744792454,-1.772836823,-1.012572145,-1.373862715,-1.897606831,-1.815507403,-1.909394158,-0.736663545,-0.739479235,-1.686964996,-0.751555553,-1.712772414,-1.705979716,-1.772641246,-1.362895744,,-1.827208972,-1.552681978,-1.592536088,-1.682231695,-1.502038144,-1.213583338,-1.657642009,-1.419583814,-2.043817103,-1.303259255,-1.690510478,-2.101582409,-1.783412925,-1.905284871,-1.619091424,-1.418776817,,-1.409892932,-2.236939025,,-1.291345657,-1.470745866,-1.140865546,-1.337216956,-1.92073204,-1.524204751,-1.81465976,-1.87457944
2006-8-18,,-1.641217963,-1.74677713,-1.799092742,-0.851630466,-1.384603842,-1.926066755,-1.880819821,-1.926278397,-0.855624776,-1.022166701,-1.748125434,-1.274986528,-1.758952609,-1.740500478,-1.666063703,-1.522948807,,-1.834598064,-1.684396644,-1.630052391,-1.654556703,-1.493147556,-1.37068747,-1.690419821,-1.474221619,-2.030855936,-1.257789518,-1.73814745,-2.187507947,-1.855033327,-1.933142944,-1.725529319,-1.700644992,,-1.423837609,-2.249829267,,-1.24640912,-1.402152339,-1.36000096,-1.403825679,-1.938142047,-1.645724587,-1.815811617,-1.856296897
2006-8-25,,-1.621032463,-1.756975367,-1.797485315,-1.457265138,-1.30515123,-1.944523777,-1.872577002,-1.939830906,-1.046644902,-0.946666359,-1.749989089,-1.471994093,-1.711713068,-1.703546303,-1.442421653,-1.478946915,,-1.876264113,-1.647414644,-1.638005987,-1.518029938,-1.685170515,-1.195388879,-1.681242963,-1.552742367,-2.052832629,-1.324734936,-1.738017137,-2.057218295,-1.850116365,-1.928448327,-1.768837671,-1.736102327,,-1.427150279,-2.237043603,,-1.398529874,-1.381977024,-1.402543114,-1.378602808,-1.954356659,-1.642925272,-1.504217435,-1.828495761
2006-9-1,,-1.662157242,-1.780816382,-1.809437193,-1.446587555,-1.392695654,-1.972419167,-1.858707007,-2.013552263,-1.013069228,-0.984440416,-1.653355043,-1.403889133,-1.611500526,-1.667331154,-1.512685507,-1.370208969,,-1.856221338,-1.558252461,-1.637303937,-1.502812959,-1.592738794,-0.472977515,-1.585306427,-1.554093825,-1.99340299,-1.254237715,-1.739994567,-2.051626645,-1.791393863,-1.928629624,-1.543121259,-1.599382859,,-1.440244541,-2.218515308,,-0.624466756,-1.290780149,-1.310843324,-1.403615856,-1.95591299,-1.479725121,-1.552827624,-1.683458284
2006-9-8,,-1.770920524,-1.647209297,-1.831901848,-1.148783453,-1.415160198,-1.995404063,-1.811015458,-2.012800863,-1.177523224,-0.940702943,-1.691819514,-1.453709297,-1.717946456,-1.708068663,-1.354103456,-1.222179307,,-1.862783186,-1.57591061,-1.654842266,-1.452360025,-1.686512323,-0.359361883,-1.59902719,-1.578209097,-2.008786382,-1.323938381,-1.760303196,-2.070328196,-1.857411529,-1.956810511,-1.568703823,-1.544649422,,-1.48393042,-2.251534619,,-0.943860045,-1.353749181,-1.231737003,-1.416075431,-2.093500082,-1.529588575,-1.590981775,-1.738373116
2006-9-15,,-1.79159781,-1.617673813,-1.839501503,-1.116441983,-1.427033319,-2.020537805,-1.914466202,-2.049028914,-1.186754255,-0.997472977,-1.705982971,-1.443307113,-1.675037282,-1.759002852,-1.440292417,-1.401549691,,-1.88748292,-1.542007916,-1.670828004,-1.348718795,-1.640385279,-0.645255397,-1.597654073,-1.573927913,-1.985467528,-1.316453976,-1.775840022,-2.037018915,-1.871000862,-1.975885392,-1.640478187,-1.32976746,,-1.453188696,-2.243406524,,-0.907433665,-0.798499971,-1.245025158,-1.424127667,-2.067838964,-1.495750146,-1.615350497,-1.786921928
2006-9-22,,-1.760145217,-1.636269633,-1.855962479,-1.222403986,-1.391573546,-2.017047552,-1.83875833,-2.070886523,-1.212518839,-0.936560088,-1.693427088,-1.312019771,-1.660287826,-1.622668412,-1.348797954,-0.960445379,,-1.841582356,-1.451773158,-1.58168625,-1.450666042,-1.573072824,-0.604942876,-1.303944492,-1.511000842,-1.972153043,-1.337604718,-1.705532376,-2.033210017,-1.822405546,-1.931561784,-1.628223229,-0.816492215,,-1.446324346,-2.194179425,,-0.805139473,-0.987560221,-1.206351909,-1.423273098,-2.025643343,-1.479640306,-1.476105927,-1.770562486
2006-9-29,,-1.726407604,-1.684489055,-1.768524531,-1.589235807,-1.392543412,-1.955707731,-1.842127838,-1.943275732,-1.166479386,-0.940972312,-1.600581474,-1.309886825,-1.660661394,-1.630625522,-1.42211346,-1.048370137,,-1.808072953,-1.362679333,-1.618501652,-1.578476835,-1.601281759,-0.690513253,-1.49904457,-1.50870007,-1.973923744,-1.326111101,-1.701896622,-2.061900887,-1.718548181,-1.949628834,-1.633092,-0.797034492,,-1.459428661,-1.953175647,,-0.709832069,-1.101428203,-1.170166314,-1.452076237,-2.085746789,-1.408691789,-1.313729327,-1.774975622
2006-10-13,,-1.965304948,-1.73493646,-1.899282118,-1.409657226,-1.440441065,-2.035529359,-1.965739406,-2.107200676,-1.183269722,-0.88388315,-1.632537251,-1.315332908,-1.679775163,-1.64677668,-1.344941446,-0.923857229,,-1.869255087,-1.102172671,-1.631918153,-1.413722844,-1.034197826,-0.545939048,-1.464197445,-1.439929594,-1.995016893,-1.300518633,-1.735304629,-2.030985355,-1.499326455,-1.891595942,-1.608647363,-0.917024249,,-1.353037179,-1.994853019,,-0.921158041,-1.167803437,-1.099852565,-1.473119649,-2.108209478,-1.364934307,-1.326058798,-1.664583437
2006-10-20,,-1.943945793,-1.767938916,-1.901730921,-1.065889463,-1.410548759,-2.068611429,-2.008435686,-2.107318492,-1.195945311,-0.884168353,-1.650302063,-1.329013402,-1.669517899,-1.659392041,-1.333790906,-0.846280875,,-1.882922379,-1.089548675,-1.665046192,-1.05678482,-1.106050189,-0.811737756,-1.459756135,-1.466076169,-2.015427883,-1.254123265,-1.778950333,-2.055953483,-1.460818405,-2.083915651,-1.621450028,-0.665522854,,-1.505909769,-2.147290414,,-1.055668657,-1.042437739,-1.144185115,-1.492429449,-2.146291237,-1.338039604,-1.484850232,-1.796727519
2006-10-27,,-1.935221431,-1.70130615,-1.944041723,-0.726011942,-1.462520692,-2.062578222,-2.005923784,-2.102530771,-1.207908419,-0.878657896,-1.647400829,-1.299381186,-1.707113177,-1.471327451,-1.434872221,-0.587416363,,-1.900617143,-1.544415289,-1.636278489,-1.093061051,-1.28239174,-1.053428384,-1.479925439,-1.456632212,-2.003143597,-1.359428016,-1.792400595,-2.053581277,-1.555541298,-2.100734524,-1.594394624,-0.207109581,,-1.239460375,-2.168966476,,-0.992014225,-0.975910104,-1.151600998,-1.488166845,-2.092922959,-1.411204769,-1.475599697,-1.746361154
2006-11-3,,-2.104011609,-1.789235281,-1.931714218,-1.156015407,-1.457850821,-1.916703421,-2.081972506,-1.876943966,-1.225653452,-0.954022728,-1.648281953,-1.360137313,-1.747433181,-1.631350318,-1.53389054,-1.031971165,,-1.929002844,-1.645312909,-1.643762285,-1.487296655,-1.407277685,-1.228884345,-1.693885694,-1.417719766,-1.988641239,-1.39734324,-1.806664919,-2.075455174,-1.738905968,-2.144518423,-1.701842455,-0.882945258,,-1.401948027,-2.207625763,,-1.035875624,-0.198046382,-1.229617705,-1.445330223,-1.569150679,-1.479563427,-1.589306143,-1.81121336
2006-11-10,,-2.114190021,-1.796014856,-2.027728178,-1.423173738,-1.46422258,-1.897295314,-2.123684878,-1.749767135,-1.236204174,-0.978040547,-1.678931722,-1.381837129,-1.779988651,-1.636224939,-1.591068965,-1.179681925,,-1.739565549,-1.746370523,-1.654578936,-1.593371703,-1.366490081,-1.221522595,-1.687597796,-1.322936169,-1.947424472,-1.369093994,-1.827127411,-2.060749834,-1.78483284,-2.112880729,-1.706391298,-0.630325863,,-0.98708608,-2.220844917,,-0.913580061,-0.049530827,-1.174140827,-1.468801713,-1.864143707,-1.439370011,-1.63521333,-1.809422651
2006-11-17,,-2.131045143,-1.818080795,-2.042282314,-1.584477261,-1.500513805,-1.957628748,-2.141575341,-1.877344326,-1.251354245,-1.03731881,-1.717325855,-1.406953679,-1.612696992,-1.614430867,-1.605708511,-1.31171371,,-1.787657927,-1.412720233,-1.611300497,-1.669245996,-1.226258305,-1.216532854,-1.543211153,-1.168393653,-1.885632249,-1.428349884,-1.819620276,-2.108239742,-2.022696842,-2.257809291,-1.726441057,-1.099701899,,-0.916230215,-1.823783826,,-0.847618973,-0.363221778,-1.298356219,-1.494312287,-1.265419064,-1.522307636,-1.302906494,-1.762422852
2006-11-24,,-2.144845312,-1.837977149,-2.042001119,-1.495074699,-1.516812686,-1.903940345,-2.149992725,-1.783395989,-1.262286374,-1.013340239,-1.751517797,-1.349726234,-1.607361153,-1.600576856,-1.582700577,-1.374204832,,-1.60405483,-1.211247268,-1.579608118,-1.663388182,-1.307184645,-1.198296104,-1.579209782,-1.394229409,-1.894622206,-1.386779229,-1.82995922,-2.022789626,-2.088294004,-2.223511552,-1.680645027,-0.693088208,,-0.723004224,-1.171916165,,-0.492832175,-0.050501313,-1.196720686,-1.442390251,-1.223089127,-1.463303433,-1.265643277,-1.742942603
