date,CI005001.WI,CI005002.WI,CI005003.WI,CI005004.WI,CI005005.WI,CI005006.WI,CI005007.WI,CI005008.WI,CI005009.WI,CI005010.WI,CI005011.WI,CI005012.WI,CI005013.WI,CI005014.WI,CI005015.WI,CI005016.WI,CI005017.WI,CI005018.WI,CI005019.WI,CI005020.WI,CI005021.WI,CI005022.WI,CI005023.WI,CI005024.WI,CI005025.WI,CI005026.WI,CI005027.WI,CI005028.WI,CI005029.WI
2006-4-7,-0.533957194,-0.872801683,0.845989227,-2.014696746,-1.47547029,-1.392543186,-1.444182171,-1.566995985,-1.453242463,-1.776631769,-1.392328597,-1.095988857,-1.841701268,-1.339369697,-1.432890642,-1.893677808,-1.958361975,-1.657608846,-1.348423295,-0.408664433,0.573021982,-2.551495258,-0.965448049,-0.617276779,-0.937536998,-2.119677217,-2.072496201,-1.199341555,-2.341332276
2006-4-14,-0.036592431,-0.42285703,0.266159055,-1.894110101,-0.865320149,-1.115085642,-1.23118966,-1.347826074,-1.44921388,-1.610618088,-1.106352048,-0.430977525,-1.300959106,-1.097411207,-1.092229771,-1.985917915,-1.891535832,-1.272909171,-1.505568644,-0.048357252,0.515816254,-2.580893355,-0.656711946,-0.470289772,-0.919085835,-2.184967048,-1.999276048,-1.176509521,-1.998435506
2006-4-21,0.240654519,-0.580241768,1.09827366,-1.662915763,-0.313467355,-0.955322424,-1.502012245,-1.600968638,-1.16213431,-1.521357654,-1.117530837,-0.382940499,-1.321577875,-1.133687454,-1.234732687,-1.852549294,-1.986590399,-1.222573189,-0.771457694,0.250140537,0.614206811,-2.57311367,-0.7133955,-0.569248464,-0.702622666,-1.907782984,-2.084780245,-0.167384119,-2.077405497
2006-4-28,0.265032316,0.299057077,1.890490968,-1.48374177,-0.08826897,-0.866468645,-1.490539553,-1.502313566,-0.837458255,-1.502562785,-0.727571413,-0.05473091,-1.308822392,-1.096784118,-1.203086792,-1.672037539,-2.016851789,-1.173496195,-0.853922545,0.422972714,1.504311314,-2.444985747,-0.657230128,-0.08977866,-0.467876672,-1.836242998,-2.060549161,-0.353565702,-2.126548863
2006-5-12,0.866633518,0.727916063,1.983106252,-0.062114205,0.507383064,0.517776473,-0.460954733,-0.619569993,-0.030120509,-0.588185424,-0.33043692,0.7778392,-0.190886183,0.032777878,-0.754948905,-0.697106305,-1.505382781,-0.287375482,0.107567254,0.983484042,2.189673693,-2.452484935,-0.07440839,1.042429397,0.943581616,-1.896610081,-1.66186287,0.626371031,-1.718416836
2006-5-19,1.228899706,1.338436417,1.200444686,0.340525922,1.989350244,0.90422471,-0.003192645,0.034237089,0.242247208,-0.396429105,0.068009527,1.621000272,0.325660284,0.937705154,-0.288454395,1.167993391,-0.422779658,0.307168406,0.57785153,1.212071548,2.218238016,-2.036297761,-0.199916496,1.483072718,2.090114474,-1.075457451,-1.176637681,-0.101941647,-0.316080529
2006-5-26,0.734409837,-0.244224644,0.057401094,-0.859661047,1.244852476,-0.110010168,0.079359758,-0.577419595,-0.605542911,-0.544505129,-0.47273336,0.768749817,-0.139752828,-0.455930929,-0.262408564,-0.241981143,-0.816348113,-0.414158963,-0.684909002,0.870975996,1.749417345,-2.081511233,-0.707677463,0.033947569,0.276878043,-0.075336783,-1.703278034,-1.047244162,-0.328886975
2006-6-2,0.034317368,-0.143265638,-0.574552214,-0.658649355,0.961503884,0.08905221,1.352637326,0.283682458,-0.100676902,-0.085342867,-0.11310173,1.289866837,0.094689498,-0.502613465,0.825530824,-0.499394242,-0.278035495,-0.085756987,-1.041858188,0.342382104,0.766022778,-2.103993236,-0.370655109,1.014058507,0.391424975,0.18228994,-1.608211808,-0.980016164,-0.248970373
2006-6-9,-0.611934351,-0.714914558,-0.560473637,-1.10730787,0.373360593,-0.549494961,1.526940792,-0.481163806,-0.904361499,-0.640089806,-1.338579303,0.331717642,-0.675086912,-1.46919935,-0.27447289,-1.286652384,-0.682587276,-0.708672291,-1.228310624,-0.316469727,0.965757642,-2.46289609,-0.35890713,0.699098109,-0.446515623,0.028618007,-1.428962779,-0.43789403,-0.647356326
2006-6-16,-1.011086264,-1.405582948,-0.464643713,-2.134886946,-1.290921365,-1.445611178,-0.024598156,-1.167748638,-2.118630835,-1.403904977,-1.933482199,-0.311815664,-1.485073809,-1.853195581,-1.635573437,-1.633070624,-1.347509532,-1.478008753,-2.182663593,-0.796395258,-0.329132127,-2.452781575,-1.69442548,-0.721071325,-1.181726502,-1.522524759,-2.109233408,-1.937812943,-2.022780581
2006-6-23,-0.992909025,-1.246916426,-0.709668841,-1.713856584,-1.761000287,-1.280905924,-0.040508692,-1.266364535,-1.893988992,-1.632119073,-1.83660118,-0.399066903,-1.717430633,-1.569387982,-1.256179509,-1.370978995,-1.213423049,-1.476146714,-1.847187721,-0.526228213,-0.652172362,-2.030714893,-1.717567344,-0.887447361,-1.405849872,-1.24889319,-1.892366425,-1.966395735,-1.580014291
2006-6-30,-1.453797318,-0.78441888,-0.831173426,-1.37341112,-1.200019802,-1.067132652,-0.167843618,-1.303744206,-1.141661089,-0.481904942,-1.407786273,-0.17894913,-1.352470029,-1.163193385,-1.578081312,-0.570388691,-0.774961565,-1.340807894,-0.198979759,0.27734356,-0.989877552,-2.024379943,-1.945955327,-1.289752702,-0.504141041,-1.586811222,-2.218731089,-2.101056689,-0.845530924
2006-7-7,-1.514104192,-1.119928261,-0.323249088,-1.383233253,-1.428354426,-0.208098606,0.698463696,-1.036386439,-0.961347655,0.067089663,-1.27940814,0.973159028,-0.444925473,-0.914258066,-1.272490954,-0.66902256,-0.675444947,-0.683240922,-0.725123363,-0.064714335,-0.517301822,-1.921180349,-1.360147167,-0.403416782,-0.985663773,-0.526312232,-1.687980408,-1.618994871,0.836084084
2006-7-14,-1.646205873,-1.239503458,-0.660482479,-1.372097278,-1.612296048,-0.188997624,0.594754573,-0.876701306,-1.380634247,-0.038674311,-0.917998899,1.530576018,-0.468328041,-0.673133073,-0.750421534,-0.783212951,-0.973073473,-0.917583082,-0.798581261,0.100134496,-1.124388336,-1.876117798,-0.913117295,-0.583480858,-0.914563315,-1.206291048,-1.718004176,-1.284689489,-0.27016352
2006-7-21,-1.543606674,-1.586208724,-1.212721438,-1.65509483,-1.924022143,-0.539213189,-0.323815679,-1.433807918,-1.794203217,-1.117211489,-1.512328978,-0.737614208,-1.352712121,-1.118014392,-1.629639034,-1.658600502,-1.835341434,-1.492273336,-1.157810511,-1.021180292,-1.206160772,-1.88345775,-1.138278845,-0.968629664,-1.172078149,-1.687254158,-1.6850692,-1.183508944,-1.330329463
2006-7-28,-1.601907541,-1.675755058,-1.301863177,-1.798228004,-1.922435442,-1.053937283,0.043425597,-1.537495589,-1.745856801,-0.944101842,-1.643938189,-1.299275958,-1.549805593,-1.082331908,-1.280792541,-1.679197505,-1.797829427,-1.462290944,-1.171308866,-1.045801396,-1.19037668,-2.069747033,-0.968277749,-1.371954551,-1.271265693,-1.825423158,-1.901725489,-1.683223031,-1.218107331
2006-8-4,-1.636671071,-1.69447158,-1.319881374,-1.821671003,-1.938821389,-1.15386762,-0.712605886,-1.663809544,-1.775444626,-1.236946387,-1.71834441,-1.526960873,-1.62321392,-1.355143677,-1.512706607,-1.741625258,-1.881709412,-1.619365873,-1.375337757,-1.323317552,-1.225411217,-2.20000351,-1.262075303,-1.433281331,-1.320859495,-1.872757864,-1.93428249,-1.716489028,-1.460010491
2006-8-11,-1.63846407,-1.706525618,-1.344086238,-1.840154714,-1.937072937,-1.190145647,-0.739479235,-1.671083945,-1.830961359,-1.387536054,-1.7103251,-1.59766306,-1.622374403,-1.360243059,-1.507701328,-1.81916609,-1.886821131,-1.620874378,-1.470308689,-1.392751886,-1.336056558,-2.236939025,-1.291450402,-1.436540379,-1.397976988,-1.89024841,-1.950288466,-1.729832212,-1.524204751
2006-8-18,-1.644321176,-1.717252143,-1.347225764,-1.872733486,-1.956146723,-1.296469689,-1.022166701,-1.738995194,-1.86531326,-1.639446753,-1.772712832,-1.556464085,-1.664254577,-1.414150232,-1.572153771,-1.852675227,-1.895801073,-1.673292378,-1.553435353,-1.562372792,-1.336406526,-2.249829267,-1.246363115,-1.48915812,-1.432488095,-1.927877158,-1.970982083,-1.747861894,-1.645724587
2006-8-25,-1.627011873,-1.731658167,-1.211358078,-1.890615623,-1.973278797,-1.31722571,-0.946666359,-1.647779391,-1.806718965,-1.625968778,-1.755090508,-1.38604844,-1.690040281,-1.36401837,-1.511776503,-1.91079611,-1.904768329,-1.644757353,-1.510921861,-1.493627381,-1.331946905,-2.237043603,-1.398504557,-1.463914337,-1.387305983,-1.936721662,-1.918953074,-1.761586094,-1.642925272
2006-9-1,-1.669184595,-1.753065352,-1.347290649,-1.897089381,-2.027994536,-1.247535963,-0.984440416,-1.52700445,-1.767589246,-1.41892818,-1.698112732,-1.417520937,-1.630310895,-1.054540169,-1.030285679,-1.816396133,-1.810644088,-1.612764898,-1.438389578,-1.27410725,-1.317836126,-2.218515308,-0.624687347,-1.450789428,-1.407140326,-1.942967199,-1.262799547,-1.705306644,-1.479725121
2006-9-8,-1.774049331,-1.666601624,-1.368456138,-1.914862185,-2.032165588,-1.347007746,-0.940702943,-1.470658408,-1.770985975,-1.513507957,-1.759743111,-1.251480452,-1.675752101,-1.197390142,-1.013734548,-1.857391025,-1.854638874,-1.657365372,-1.527931283,-1.25259522,-1.271632233,-2.251534619,-0.94376223,-1.440223878,-1.443765623,-1.958665706,-1.537479715,-1.728109182,-1.529588575
2006-9-15,-1.794710399,-1.646134768,-1.388292363,-1.930955117,-2.069515237,-1.359266331,-0.997472977,-1.566106565,-1.709372558,-1.507863131,-1.781340255,-1.360274976,-1.670339342,-1.245506751,-1.145824973,-1.857584524,-1.879727144,-1.652853334,-1.544708794,-1.373936905,-0.923828088,-2.243406524,-0.907501794,-1.29808909,-1.42582865,-1.92932037,-1.556995357,-1.737189899,-1.495750146
2006-9-22,-1.76159571,-1.665593337,-1.360082115,-1.924353545,-2.0866115,-1.284293361,-0.936560088,-1.415370725,-1.66433749,-1.407718107,-1.78998366,-1.216115486,-1.644881112,-1.235210831,-0.990183442,-1.800171524,-1.830700032,-1.606713231,-1.50322522,-1.265471519,-0.960584412,-2.194179425,-0.805139473,-1.270623069,-1.400581369,-1.929257121,-1.560337117,-1.632553348,-1.479640306
2006-9-29,-1.729906157,-1.688078124,-1.349302076,-1.866064849,-1.965776936,-1.293028063,-0.940972312,-1.558509633,-1.653520168,-1.406618514,-1.799580655,-1.301987012,-1.598454556,-1.175356719,-1.157732102,-1.787545503,-1.838809607,-1.622192517,-1.492177105,-1.315992181,-0.994913692,-1.953175647,-0.709832069,-1.326644068,-1.386030069,-1.884374246,-1.605951216,-1.641961116,-1.408691789
2006-10-13,-1.966122821,-1.758791662,-1.404074546,-1.959768751,-2.10723544,-1.287062719,-0.88388315,-1.273608446,-1.686277856,-1.387063502,-1.742228048,-1.191653738,-1.452383119,-1.117272766,-1.049121669,-1.804457389,-1.786626818,-1.598368223,-1.470369797,-1.288158333,-0.553902565,-1.994853019,-0.921158041,-1.328430707,-1.4006175,-1.711027313,-1.540543988,-1.676472415,-1.364934307
2006-10-20,-1.941434398,-1.779056533,-1.364230042,-1.99257709,-2.115428543,-1.325097907,-0.884168353,-1.571055027,-1.692556234,-1.411790565,-1.815337694,-1.151399438,-1.554210903,-1.189200103,-1.208614697,-1.82377613,-1.830207957,-1.605528029,-1.561892323,-1.341773716,-0.960988897,-2.147290414,-1.055668657,-1.365625085,-1.417141153,-1.905719593,-1.430047442,-1.70605989,-1.338039604
2006-10-27,-1.933093243,-1.717054103,-1.394093416,-1.988339678,-2.109105445,-1.254681387,-0.878657896,-1.436529097,-1.73366684,-1.26014465,-1.834214258,-1.228770168,-1.57275501,-1.130529728,-1.233511234,-1.80390331,-1.79860526,-1.659542008,-1.547531636,-1.30986512,-0.403499918,-2.168966476,-0.992014225,-1.269626941,-1.406633364,-1.694195459,-1.347647456,-1.734014774,-1.411204769
2006-11-3,-2.102792769,-1.78887425,-1.405357558,-1.899886628,-1.878173172,-1.341675926,-0.94429334,-1.509139434,-1.72271092,-1.403388676,-1.893505885,-1.403996849,-1.644490518,-1.276471151,-1.476816679,-1.786508791,-1.851056297,-1.710675741,-1.558535596,-1.450876757,-0.641984157,-2.207625763,-1.035875624,-0.897255721,-1.422518618,-1.876567565,-1.647185635,-1.737880479,-1.479563427
2006-11-10,-2.112827554,-1.812852707,-1.389932443,-1.878914691,-1.739081723,-1.356135859,-0.964155038,-1.589691393,-1.749998415,-1.411941602,-1.910612358,-1.477223148,-1.567514927,-1.228319653,-1.454991732,-1.759704746,-1.853889033,-1.710284742,-1.521144148,-1.464986491,0.497678308,-2.220844917,-0.913580061,-0.909337251,-1.437558858,-1.766642006,-1.624035466,-1.79458125,-1.439370011
2006-11-17,-2.129250371,-1.821547035,-1.459057135,-1.958643553,-1.874249187,-1.390331231,-0.996019008,-1.72713277,-1.756060702,-1.398646325,-1.927576122,-1.518160209,-1.586834224,-1.324166239,-1.367499434,-1.638336287,-1.773792675,-1.733673486,-1.539050206,-1.467331613,2.059214344,-1.823783826,-0.847618973,-0.951361726,-1.453264432,-1.57601815,-1.526066204,-1.797075536,-1.522307636
2006-11-24,-2.142140238,-1.851656609,-1.478464489,-1.910997871,-1.799302474,-1.413359593,-0.973003989,-1.630346765,-1.763663582,-1.221891639,-1.905716597,-1.489197643,-1.511553059,-1.191970986,-1.371747054,-1.693955054,-1.746194999,-1.724497957,-1.485201074,-1.319692855,1.983459547,-1.171916165,-0.492615014,-0.837983676,-1.467994541,-0.857740926,-1.40520547,-1.759163232,-1.463303433
2006-12-1,-1.892744935,-1.809816309,-1.302099837,-1.764950998,-1.737359908,-1.330447945,-0.758370612,-1.148018402,-1.775254622,-1.211947833,-1.755742122,-1.158316447,-1.140856648,-1.036845672,-1.269463508,-1.505802902,-1.669427305,-1.629617879,-1.419106808,-1.166986223,1.345025188,-1.052909323,-0.3157256,-0.711005627,-1.47296584,-1.071019573,-1.416267753,-1.754492256,-1.399113333
