date,CI005001.WI,CI005002.WI,CI005003.WI,CI005004.WI,CI005005.WI,CI005006.WI,CI005007.WI,CI005008.WI,CI005009.WI,CI005010.WI,CI005011.WI,CI005012.WI,CI005013.WI,CI005014.WI,CI005015.WI,CI005016.WI,CI005017.WI,CI005018.WI,CI005019.WI,CI005020.WI,CI005021.WI,CI005022.WI,CI005023.WI,CI005024.WI,CI005025.WI,CI005026.WI,CI005027.WI,CI005028.WI,CI005029.WI
2006-4-7,-3.228616232,-2.288384195,-0.581757558,-3.195171467,-4.460273167,-2.444395709,-1.805470537,-2.355046185,-2.38337589,-2.86302,-2.354457083,-2.883220023,-3.280867562,-2.668921851,-2.310095938,-4.151093457,-3.079257528,-2.733801048,-2.306468995,-2.113561088,-4.225076949,-3.842993674,-1.71633139,-2.261151361,-2.517121844,-4.319387574,-2.93412774,-3.374828131,-2.735121853
2006-4-14,-2.934846712,-1.727037366,-1.407087486,-3.258375054,-3.789025598,-2.152236658,-1.597871069,-2.255169321,-2.448537236,-2.677803121,-2.223608742,-2.427877029,-2.879023469,-2.379012056,-1.915946723,-4.057008628,-3.042415241,-2.256509216,-2.812132121,-2.041042787,-4.216646512,-3.871057273,-1.699559219,-2.033077807,-2.628310496,-4.239033003,-2.901046772,-3.339292345,-2.384272762
2006-4-21,-2.450023371,-2.135464442,-0.679316735,-3.017189309,-3.487861883,-2.133274576,-2.36302207,-2.618307342,-2.229212781,-2.695219787,-2.315307077,-2.631810707,-2.994189602,-2.381418446,-2.339092202,-3.996259958,-3.181091658,-2.387531623,-2.068854579,-1.65995688,-4.159469491,-3.93356449,-1.980041586,-2.442223863,-2.706449766,-4.087489097,-2.971783416,-2.987029617,-2.639486034
2006-4-28,-2.414057879,-1.149425753,0.59902347,-2.834944168,-3.369686224,-2.083358057,-2.364376567,-2.522589261,-1.806065166,-2.664580363,-1.771785143,-2.228673486,-2.955355995,-2.169900158,-2.280474947,-3.867185752,-3.17474298,-2.313186207,-2.425711671,-1.52345205,-3.582155342,-3.873555933,-1.830521017,-2.061294495,-2.558889643,-4.503105394,-2.745525528,-2.958376411,-2.639839371
2006-5-12,-1.515720712,-0.856433437,0.1061802,-1.123326558,-2.747712251,-0.68612862,-1.249924133,-1.751831097,-0.932674045,-1.746087502,-1.427270527,-1.133710489,-1.681391005,-1.049799578,-1.766634316,-2.669053759,-2.411526317,-1.272498998,-1.049952471,-0.558848971,-2.76200991,-3.73823989,-1.079477082,-0.692185456,-1.505938279,-4.547155916,-1.90825233,-1.305982815,-2.232337951
2006-5-19,-1.193453519,-0.082282752,-0.042638985,-0.452639246,-1.226349858,-0.047197809,-0.772178213,-0.653458362,-0.406485133,-1.639222031,-1.034411812,0.5940232,-1.175198551,-0.121384832,-1.424507829,-0.267522312,-0.898974836,-0.604584735,-0.226331704,-0.274153366,-2.686519053,-3.341841606,-0.878669092,0.315390213,-0.640079201,-3.711488697,-1.526345726,-1.413162946,-1.056543427
2006-5-26,-1.701218276,-1.687689369,-0.962450006,-2.232534334,-2.061542792,-1.575734098,-1.353237451,-1.762978194,-1.093134402,-1.733475687,-1.359256281,-1.802071516,-1.967883433,-1.704829103,-1.433455027,-2.324239369,-1.853400777,-1.678410359,-2.225860403,-0.642261872,-2.991425411,-3.621751264,-1.334963459,-1.663656586,-2.13958026,-2.970293594,-2.222388353,-2.864959726,-1.14465392
2006-6-2,-1.691816903,-1.60721788,-1.170243852,-1.986769695,-1.879240351,-1.292401196,-0.59521596,-1.311860707,-0.737240634,-1.223149468,-1.061960332,0.182736979,-1.390874924,-1.411768577,-0.814519968,-1.927293769,-1.22083507,-1.335801924,-2.059217533,-0.755369571,-3.211812721,-2.263365836,-1.302479348,-1.191246185,-1.832161794,-3.273464212,-2.035979794,-1.990822594,-1.055169329
2006-6-9,-1.929455247,-1.887124195,-1.28478973,-1.965750236,-2.008307812,-1.417124009,-0.196795475,-1.894874363,-1.405188961,-1.875594842,-1.770407311,0.147801084,-1.747144774,-1.733934457,-1.354733194,-2.113037417,-1.45324459,-1.609728472,-2.269017709,-1.161010717,-3.151872717,-2.237029898,-1.341949699,-0.84208695,-1.982847049,-2.838441673,-1.916999416,-1.934071663,-0.767627464
2006-6-16,-2.121256152,-2.089562204,-1.442192793,-2.524029915,-2.589254273,-2.102289608,-1.99804747,-2.256665409,-1.940659503,-2.238211898,-1.979627588,-1.108958686,-2.314290698,-2.031167459,-2.223874123,-2.585296746,-2.275576544,-2.149866813,-2.404442015,-1.410322478,-3.294842469,-2.514198617,-1.903390149,-2.175903697,-2.403671479,-3.539645379,-2.533851628,-2.968562067,-2.313632187
2006-6-23,-2.070680604,-2.131838277,-1.454821485,-2.548768247,-2.611838791,-2.110792954,-2.022786304,-2.24033174,-1.955790567,-2.252620221,-2.012436132,-2.00081794,-2.343958577,-2.011276341,-2.216699302,-2.596127531,-2.233879709,-2.135764267,-2.359573065,-1.348819031,-3.324879723,-2.146140356,-1.889650381,-2.16407601,-2.362434125,-3.544420808,-2.568261104,-2.964510923,-2.318497658
2006-6-30,-2.205019671,-2.146857613,-1.467587513,-2.538077368,-2.617366205,-2.051312826,-1.845746394,-2.308647673,-1.930518348,-2.050930538,-2.022574615,-1.932676236,-2.324221068,-2.042684271,-2.173466473,-2.456449472,-2.108587065,-2.111141358,-2.220974511,-1.135229367,-3.353894954,-2.224062704,-1.903800336,-2.128580916,-2.36445056,-3.580216413,-2.588120477,-3.000676208,-2.171542651
2006-7-7,-2.151190152,-2.063593143,-1.352134323,-2.484390136,-2.612627885,-1.868976022,-1.602433239,-2.229387435,-1.838074832,-1.697067229,-2.00704367,-1.663726185,-2.18451512,-1.953454356,-2.205984798,-2.52583976,-2.131108047,-2.00526025,-2.105645165,-1.242243592,-3.203185454,-2.17778633,-1.840499051,-2.043160251,-2.153725812,-3.432115033,-2.422675926,-2.957238974,-1.835268581
2006-7-14,-2.170798239,-2.081424165,-1.344810097,-2.506878108,-2.619014918,-1.804363877,-1.701028702,-2.055692929,-1.854091855,-1.835167977,-1.864845172,-1.666926124,-2.1535237,-1.789788022,-2.003334464,-2.387141175,-2.169770379,-2.000164327,-2.17007485,-1.117418599,-3.394769814,-2.214554889,-1.589211964,-2.071344862,-2.288322091,-3.594110818,-2.354039329,-2.956886947,-2.033500123
2006-7-21,-2.20471488,-2.135882683,-1.593027221,-2.58305124,-2.651393681,-1.996437478,-2.08062214,-2.389488138,-1.983960092,-2.374378878,-2.118347555,-2.11156132,-2.360783726,-2.035178021,-2.339762825,-2.5754585,-2.339160687,-2.187339368,-2.301549895,-1.693625045,-3.399441282,-2.239496172,-1.882507214,-2.225087297,-2.471813605,-3.684534557,-2.715127807,-2.947479158,-2.371391279
2006-7-28,-2.213190225,-2.093529989,-1.602712211,-2.601176853,-2.601155203,-2.08110919,-1.870641342,-2.408172552,-2.015235753,-2.388293521,-2.154915738,-2.151777932,-2.39196759,-1.96254735,-2.37778312,-2.585712757,-2.338151668,-2.202770005,-2.263283331,-1.69189564,-3.407029454,-2.277556675,-1.915773693,-2.210065081,-2.451385631,-3.655597705,-2.701404872,-2.980015421,-2.393654434
2006-8-4,-2.21385733,-2.095359927,-1.620089335,-2.571573004,-2.613338286,-2.131602218,-2.2357324,-2.401206558,-2.014514985,-2.424166728,-2.157379858,-2.185499827,-2.412184856,-2.158669899,-2.411028546,-2.604450871,-2.357740936,-2.251996771,-2.377936131,-1.758544819,-3.43264586,-2.34688238,-2.063153982,-2.230953383,-2.476351843,-3.660561909,-2.723832007,-2.958815384,-2.429252773
2006-8-11,-2.233546682,-2.071439991,-1.620886069,-2.562429227,-2.582644958,-2.153505509,-2.275562259,-2.419919793,-1.984978979,-2.43148424,-2.168537276,-2.195688769,-2.437482929,-2.175299423,-2.427334253,-2.604226159,-2.375072538,-2.256619666,-2.376521914,-1.76683895,-3.416291907,-2.349722887,-2.083945428,-2.234077145,-2.48527013,-3.701587658,-2.719263082,-2.850624537,-2.437807415
2006-8-18,-2.186467099,-2.068115364,-1.644437949,-2.542949665,-2.589996591,-2.155585201,-2.298364576,-2.456168625,-1.995646561,-2.432891539,-2.147908854,-2.226973309,-2.458917256,-2.204861909,-2.412158456,-2.631694929,-2.398104526,-2.294746364,-2.374008778,-1.759519624,-3.457362379,-2.32374097,-2.099582386,-2.248657755,-2.499040024,-3.734027728,-2.74422675,-2.352996175,-2.453771842
2006-8-25,-1.527432157,-2.07481826,-1.681160538,-2.307192009,-2.64248332,-2.170842063,-2.317802833,-2.505550397,-2.047381919,-2.465124382,-2.217119445,-2.255871637,-2.467384222,-2.219990067,-2.402192874,-2.638379732,-2.422531452,-2.316125592,-2.436672693,-1.794500862,-3.510926806,-2.234247346,-2.152516216,-2.280931755,-2.539149259,-3.770245279,-2.721904174,-2.063601845,-2.461344599
2006-9-1,-1.611698346,-2.001267797,-1.693621499,-2.422619279,-2.550555077,-2.081865136,-2.215604682,-2.397563468,-2.026738351,-2.380394596,-2.165622887,-2.26718883,-2.384936907,-2.08335776,-2.209776602,-2.561343982,-2.298210107,-2.251975641,-2.379289978,-1.81115459,-3.419956951,-2.237296511,-1.861118623,-2.207419267,-2.420436152,-3.687089117,-2.588012267,-2.210083471,-2.3843282
2006-9-8,-1.836758467,-1.970633041,-1.694185461,-2.320407645,-2.438499769,-2.10810957,-2.262524023,-2.407207296,-2.035125733,-2.396709411,-2.157053981,-2.213222761,-2.376436018,-2.197643532,-2.194419903,-2.529197854,-2.312626831,-2.266304272,-2.432178001,-1.831562109,-3.361532641,-2.231996527,-2.252595438,-2.232368173,-2.43977667,-3.623771672,-2.63351072,-2.234407831,-2.337111369
2006-9-15,-1.879938205,-1.91136799,-1.690444979,-2.33195533,-2.470305313,-2.123206296,-2.271421401,-2.481974369,-2.094091035,-2.431647452,-2.142969295,-2.332413442,-2.430788152,-2.228003062,-2.411635817,-2.572960838,-2.329616714,-2.301843664,-2.463818847,-1.863777559,-3.265868638,-2.246649534,-2.294419086,-2.175735365,-2.480717225,-3.607933476,-2.720512386,-2.169486871,-2.360371837
2006-9-22,-1.841880975,-1.943240278,-1.705119619,-2.347941136,-2.424408528,-2.158454162,-2.266412694,-2.486430151,-2.131723506,-2.432185769,-2.246761818,-2.217196359,-2.444017182,-2.22973883,-2.321843029,-2.540969646,-2.343602998,-2.331893725,-2.488400595,-1.87256078,-3.350632169,-2.262409335,-2.246648396,-2.206588058,-2.502084249,-3.695861292,-2.719655491,-2.218919957,-2.37425219
2006-9-29,-1.821318702,-1.953089205,-1.694207648,-2.358246181,-2.413826583,-2.161739618,-2.36954839,-2.60404956,-2.195404191,-2.459449365,-2.257841051,-2.365028615,-2.47337995,-2.28244805,-2.552783297,-2.574184297,-2.368007929,-2.355540525,-2.515857487,-1.966834686,-3.427973625,-2.244659641,-2.357257924,-2.305370922,-2.532080169,-3.715990575,-2.748045464,-2.280083041,-2.371120211
2006-10-13,-2.043820613,-1.982423284,-1.749547263,-2.423551438,-2.52014411,-2.233666495,-2.39357839,-2.575857223,-2.23274675,-2.456499944,-2.309555862,-2.275705969,-2.36820722,-2.239993995,-2.556305509,-2.578371837,-2.366318209,-2.360647757,-2.422001598,-1.965422957,-3.325955661,-2.230227918,-2.3800348,-2.319111313,-2.521594947,-3.536302301,-2.698582484,-2.303455984,-2.322193598
2006-10-20,-2.001586775,-1.958075982,-1.769165202,-2.489000434,-2.669709533,-2.287186858,-2.409301539,-2.766038271,-2.247502442,-2.523616943,-2.371418129,-2.276245344,-2.557525087,-2.382968573,-2.570619928,-2.611205422,-2.432878301,-2.388027544,-2.696222254,-2.017040995,-3.528643285,-2.188592929,-2.436266184,-2.343567027,-2.608988077,-3.906199467,-2.794259418,-2.343782498,-2.377417674
2006-10-27,-1.985490191,-1.886561441,-1.808897745,-2.436565975,-2.637069635,-2.247397646,-2.43711456,-2.768734228,-2.140341508,-2.415664381,-2.39575043,-2.362766055,-2.588856093,-2.390653985,-2.569427825,-2.545894057,-2.354961825,-2.444576483,-2.669549484,-2.024553563,-3.399084809,-2.164332759,-2.377199373,-2.286417203,-2.507910932,-3.768742232,-2.765186964,-2.317219948,-2.422690699
2006-11-3,-1.995781781,-1.940314757,-1.746631451,-2.409183486,-2.303396501,-2.21863276,-2.420115737,-2.753226918,-2.147412248,-2.504294958,-2.398742977,-2.435898811,-2.55670337,-2.400035292,-2.509835398,-2.530267111,-2.318504113,-2.464062872,-2.696532873,-2.06485591,-3.530284088,-2.093007766,-2.377223835,-2.182004487,-2.499651121,-3.87583724,-2.796175048,-2.300977144,-2.398412988
2006-11-10,-2.015222553,-1.961788618,-1.756766508,-2.470855821,-2.310743296,-2.217242075,-2.388263579,-2.808867843,-2.19598879,-2.520784938,-2.293511911,-2.432639418,-2.529610618,-2.302286473,-2.515569071,-2.529324336,-2.344045887,-2.396105892,-2.656468195,-2.04296195,-3.366206654,-2.097960924,-2.374373754,-2.217115024,-2.513594505,-3.895285483,-2.840735503,-2.392752517,-2.381242821
2006-11-17,-2.050399396,-1.96067542,-1.707681422,-2.515532032,-2.454710528,-2.196102454,-2.400559018,-2.826328783,-2.201485712,-2.535844743,-2.313530896,-1.923186068,-2.580099557,-2.320928328,-2.5631173,-2.466145171,-2.353716046,-2.38366785,-2.642118943,-2.031600375,-2.60831908,-2.372188395,-2.296500025,-2.219242005,-2.510896718,-3.768034088,-2.839132359,-2.113285484,-2.404736487
2006-11-24,-2.06881661,-1.96604372,-1.738615824,-2.404202282,-2.226814888,-2.132421904,-2.354097281,-2.741830399,-2.135563059,-2.391748541,-2.26940555,-1.943380143,-2.43169928,-2.252442292,-2.492119968,-2.412284409,-2.24891376,-2.280950728,-2.619432091,-2.096622954,-2.846150622,-2.40034739,-1.885424352,-2.096057617,-2.474894492,-3.08584941,-2.745325203,-2.136273964,-2.375863904
2006-12-1,-2.016777913,-1.954101915,-1.752465837,-2.332998443,-2.250044365,-2.126096418,-2.234985701,-2.58423753,-2.134172543,-2.342695679,-2.283292309,-1.901992748,-2.235733215,-2.140612608,-2.447191973,-2.219598609,-2.257505957,-2.287270291,-2.538426013,-1.959110615,-3.035777303,-2.409080662,-1.69116477,-2.075672793,-2.458057225,-3.516341088,-2.74351258,-2.152420669,-2.378532996
2006-12-8,-1.791682741,-1.726296687,-1.787372292,-2.118987132,-2.009114219,-1.95877148,-1.829564768,-2.247276474,-1.938595065,-2.117315279,-2.074511027,-1.89959529,-1.965895691,-1.754357746,-2.317334255,-1.313332065,-2.026929524,-2.121878974,-2.294350331,-1.552715468,-2.71635615,-2.444465766,-1.563086374,-1.393961083,-2.035429018,-0.313338337,-2.478628518,-2.089731777,-2.087781478
2006-12-15,-2.149631669,-2.071785901,-1.888850358,-2.431655209,-2.393484743,-2.280146013,-2.26675063,-2.848055821,-1.853681404,-2.412147023,-2.441277471,-2.500370559,-2.017267308,-2.179589805,-2.529306032,-2.721260295,-2.255267007,-2.349386712,-2.234660508,-2.130356463,-2.744016554,-1.956534509,-1.957148624,-2.308330229,-2.869314523,-0.559624893,-2.885822788,-2.18935451,-2.550449333
2006-12-22,-2.156255365,-1.91433546,-1.765594172,-2.287867434,-2.260284532,-2.124115932,-2.159316345,-2.598804572,-1.86322651,-2.213088227,-2.29436902,-2.012820504,-1.966577114,-1.841546254,-2.358954666,-2.457553455,-2.081767566,-1.992452917,-1.381279597,-1.505693352,-2.866109598,-1.970345953,-1.85776618,-2.169814387,-1.967744316,-1.531639129,-2.638930895,-2.114849021,-2.484067206
2006-12-29,-2.146403932,-2.248102756,-1.841990185,-2.300543009,-2.051226452,-2.352178918,-2.233228646,-2.703846241,-2.086924938,-2.458989988,-2.45498599,-2.092570569,-2.0987043,-2.151445286,-2.609740283,-2.656627091,-2.043058148,-2.476549573,-1.512406631,-1.773527644,-2.113890253,-1.980230607,-1.960302607,-2.261573346,-2.121819351,-0.617369405,-2.905343027,-2.218818086,-2.428768504
2007-1-5,-1.910093493,-1.828070438,-1.798245098,-1.505887263,-1.154193984,-2.257880172,-1.957379045,-2.473293373,-2.075941394,-2.385152742,-2.38685477,-2.018524719,-1.596412023,-2.043658549,-2.400854738,-1.682923239,-1.812909093,-2.446476016,-1.685475574,-1.286547166,0.630420747,-2.008894136,-1.876004744,-0.653763071,-2.02256135,0.018165495,-2.951802115,-1.932483066,-2.368610812
2007-1-12,-1.811192326,-1.748445759,-1.631723749,-1.393241543,-1.998250871,-1.668974703,-1.54450236,-1.891587552,-1.600101086,-1.993144612,-2.017049683,-1.925644001,-1.456531402,-1.443836619,-2.262140365,-0.899126954,-1.239241825,-1.630820386,-1.428289149,-0.928825031,0.001508854,-1.954604538,-1.475552196,-0.627453908,-1.56085541,-0.240473819,-2.726309312,-1.87250631,-1.591255343
2007-1-19,-1.537102277,-2.109194477,-1.76540501,-1.334299104,-1.513599951,-1.470793878,-1.209274897,-1.763369084,-1.499214398,-1.748764303,-1.402153587,-1.664908274,-1.211873881,-0.932296126,-1.879373729,-0.725678566,-0.910690433,-1.356675789,-0.826129644,-0.575769548,-0.277662933,-1.986721966,-0.781005711,-1.25284205,-1.094125651,-0.571875728,-2.490083806,-1.364286018,-1.637560604
