date,CI005001.WI,CI005002.WI,CI005003.WI,CI005004.WI,CI005005.WI,CI005006.WI,CI005007.WI,CI005008.WI,CI005009.WI,CI005010.WI,CI005011.WI,CI005012.WI,CI005013.WI,CI005014.WI,CI005015.WI,CI005016.WI,CI005017.WI,CI005018.WI,CI005019.WI,CI005020.WI,CI005021.WI,CI005022.WI,CI005023.WI,CI005024.WI,CI005025.WI,CI005026.WI,CI005027.WI,CI005028.WI,CI005029.WI
2006-4-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-4-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-4-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-4-28,-2.559577876,-2.514676785,-1.801428487,-2.392180127,-2.930211723,-1.826783473,-1.921260787,-2.097838078,-2.433728763,-2.177563051,-2.245440967,-2.843825836,-2.123259396,-2.292313868,-2.126884262,-2.49685243,-1.702538826,-2.559190433,-2.266186958,-2.032482684,-2.635890739,-2.527314609,-2.178567205,-2.372681674,-2.121002766,-1.950814901,-2.361557515,-2.529759463,-1.964266539
2006-5-12,-2.302613905,-2.480412963,-1.282040811,-2.325637776,-2.835371953,-1.881598089,-1.942907963,-2.197214776,-2.236888572,-2.242504629,-2.331255579,-2.7080413,-2.009388706,-2.074977247,-2.100508469,-2.276925991,-1.909766216,-2.462513294,-2.10362349,-2.121862901,-2.630105115,-2.259125364,-1.740889808,-2.205067199,-2.223268566,-2.112037293,-2.258992808,-2.377319483,-1.966169853
2006-5-19,-1.735023607,-2.313605671,-0.755327504,-1.925501734,-2.503751901,-1.797084148,-1.902719148,-2.106621182,-2.255831039,-2.241964933,-2.149434118,-2.583670251,-1.788813236,-1.732875348,-2.118026625,-2.233640778,-1.902730045,-2.332710891,-1.790084149,-2.035236487,-2.68238757,-2.046081921,-1.553397412,-2.19384029,-2.221974015,-2.195707514,-2.095058419,-2.186984925,-1.901095229
2006-5-26,-1.702208532,-1.99215111,-0.250253369,-1.663905386,-1.970797438,-1.602768077,-1.645255098,-1.866067969,-1.690103268,-2.09036454,-1.549584931,-1.659043252,-1.303156649,-1.211653032,-1.986093975,-1.934968663,-1.70590278,-1.778384394,-1.137813336,-1.597519539,-2.571483985,-1.717132917,-1.319730907,-1.986006989,-2.001225768,-2.044946809,-1.656710831,-1.917122826,-2.125006956
2006-6-2,-1.527528702,-1.973906838,-0.447749571,-1.394245539,-2.018946397,-1.512797948,-1.423572149,-1.946015948,-1.328340799,-1.903928006,-1.287300712,-0.840407403,-1.285799209,-1.266764948,-1.902939067,-2.006430509,-1.741038182,-1.618070756,-0.624791508,-1.340621339,-2.894281189,-1.832754996,-1.346387537,-1.937014497,-1.908028176,-1.926629895,-1.490983261,-1.948914936,-2.135450566
2006-6-9,-1.844753941,-1.60876537,-0.640179992,-1.086546848,-1.42778142,-1.002352122,-0.472979269,-1.368013967,-0.151746749,-1.501690122,-1.046066022,0.410552025,-0.40606119,-0.659690908,-0.880667123,-1.311948233,-0.682667211,-1.011405628,-0.589339203,-0.406146939,-2.922636279,-1.706765134,-1.455000805,-1.51449358,-1.166421194,-1.567169542,-1.140854492,-1.393810108,-1.523977572
2006-6-16,-2.047738548,-1.975408764,-0.818599849,-1.639395207,-1.682587735,-1.437069448,-0.855133483,-1.826773615,-0.483653525,-1.63601966,-1.448187512,-0.3603132,-0.870101672,-1.444228885,-1.071482635,-1.617105643,-0.910622278,-1.457900448,-1.060030555,-0.925139866,-2.928800877,-2.046313606,-1.673856687,-1.592623583,-1.349159694,-1.705701399,-1.549957638,-1.769485477,-1.507855049
2006-6-23,-2.024186028,-2.047554079,-1.05071697,-1.80162849,-2.004858049,-1.630376626,-1.291406975,-2.006229163,-1.180951094,-1.869767622,-1.867958746,-0.846546113,-1.316028748,-1.658297681,-1.349158492,-1.792931698,-1.265859429,-1.830786274,-1.253008694,-1.297875332,-2.990757079,-2.163208781,-1.817434643,-1.848026907,-1.47857683,-1.900684078,-1.815821084,-1.853709468,-1.746976706
2006-6-30,-1.960103446,-2.069684081,-1.11833413,-1.816110692,-2.046308587,-1.651049467,-1.34060322,-1.964055064,-1.32890499,-1.845230539,-1.829053707,-1.561319999,-1.411886325,-1.701554155,-1.36089177,-1.848053529,-1.319239488,-1.846857341,-1.469060177,-1.29011316,-2.922010073,-2.056586887,-1.776689958,-1.931579513,-1.522210711,-1.941806519,-1.784126812,-1.775732934,-1.829461461
2006-7-7,-2.052761491,-2.176876264,-1.424967351,-2.008948572,-2.206412505,-1.744276915,-1.71079755,-1.767252576,-1.905233395,-2.04991397,-1.779247791,-1.699773024,-1.669884886,-1.830483379,-1.904290344,-2.052982629,-1.747884714,-2.010079518,-1.63995918,-1.738181933,-2.902988845,-2.061467714,-1.767533969,-2.03989788,-2.063598219,-2.016384559,-1.762999378,-2.094751594,-1.986988761
2006-7-14,-2.050954161,-2.205908204,-1.361388989,-2.161180984,-2.204490923,-1.90253675,-1.960852403,-2.374235097,-2.027199967,-2.061083534,-1.967849052,-1.472051053,-1.696017048,-1.979140612,-1.985117071,-2.079770748,-1.73728357,-2.170922276,-1.610648545,-1.674570717,-2.881830555,-2.050041866,-1.775351368,-2.168943106,-2.096489292,-1.990261601,-2.034692351,-1.998815967,-2.257930598
2006-7-21,-2.052728433,-2.198791022,-1.257067875,-2.164675754,-2.186509387,-1.867166398,-1.917851659,-2.394272586,-1.969475008,-1.975551549,-2.012824173,-1.435691295,-1.71320434,-1.976172027,-2.021322414,-2.025904703,-1.703148368,-2.16073686,-1.650637201,-1.651046169,-2.860039312,-2.02044456,-1.674951539,-2.159191154,-2.086755174,-1.97251069,-1.999874867,-1.988185735,-2.245665895
2006-7-28,-2.054981856,-2.214440428,-1.280504052,-2.156311775,-2.217004689,-1.84490794,-1.87174664,-2.409956229,-1.987849519,-1.973360828,-2.029914031,-1.376298058,-1.708457205,-1.961153915,-2.02389905,-2.051436778,-1.715328846,-2.154158093,-1.654318225,-1.694833478,-2.869092588,-2.047982563,-1.701422387,-2.152917801,-2.084234402,-1.928526442,-1.993062696,-2.031111583,-2.269314978
2006-8-4,-2.068579052,-2.228776115,-1.300533989,-2.110886887,-2.216316161,-1.804435942,-1.716159667,-2.365438991,-1.80718353,-1.921112262,-1.983338311,-1.53088874,-1.66818218,-1.903873469,-1.953231479,-1.936927681,-1.680247583,-2.121322158,-1.651979674,-1.56196041,-2.942091747,-2.139044133,-1.614755334,-2.150244675,-2.060753982,-2.022192055,-1.970137294,-2.005611582,-2.215195969
2006-8-11,-2.089761123,-2.182036258,-1.431653468,-2.139526289,-2.206959678,-1.9117663,-1.919583974,-2.401629885,-1.929817591,-2.112109282,-1.970625898,-1.763040711,-1.662153937,-1.961652605,-2.080996836,-2.015372132,-1.737234989,-2.205635345,-1.653282726,-1.701296947,-2.894044465,-2.072757487,-1.744798393,-2.187750371,-2.151125248,-2.060984316,-2.020707511,-2.114542023,-2.291286014
2006-8-18,-2.111145519,-2.192090568,-1.39150368,-2.141268594,-2.198841666,-1.886479163,-1.887107061,-2.425188892,-1.902908145,-2.068452303,-1.966641427,-1.76971433,-1.63844369,-1.918023695,-2.032356049,-2.014956637,-1.741328499,-2.17452107,-1.632827798,-1.691368224,-2.827725429,-2.047003277,-1.72353037,-2.151792272,-2.120570598,-2.05915757,-2.053810532,-2.111930585,-2.29696044
2006-8-25,-2.120934244,-2.15707316,-1.376446789,-2.158358917,-2.194386085,-1.883735558,-1.895411857,-2.375434423,-1.92393071,-2.117848423,-1.935232931,-1.760765616,-1.649722386,-1.934901605,-1.994209357,-2.049151941,-1.716447965,-2.193642568,-1.664241008,-1.704727896,-2.822499977,-2.071224058,-1.743140699,-2.142328314,-2.141310777,-2.080838226,-1.981482813,-2.115948173,-2.26944355
2006-9-1,-2.098079015,-2.125472365,-1.433045709,-2.205600014,-2.144937314,-1.93058727,-2.015072331,-2.409408791,-2.011514661,-2.087663434,-1.964709567,-1.720885833,-1.675933545,-1.996518034,-2.057309174,-2.021596842,-1.779803109,-2.234098584,-1.668506878,-1.749966181,-2.794253595,-1.987557557,-1.707886919,-2.18592179,-2.061772576,-2.058873175,-1.976610838,-2.139042661,-2.293488945
2006-9-8,-2.014562864,-2.072194111,-1.417734157,-2.218193634,-2.11062657,-1.925798856,-2.023895368,-2.433727211,-2.008889925,-2.109925577,-1.957614318,-1.75904874,-1.674790367,-2.017213549,-2.07158314,-2.025195513,-1.774668895,-2.230158007,-1.643346002,-1.762971458,-2.799820319,-1.996634343,-1.762365172,-2.197674263,-2.076631173,-2.092767942,-2.014116179,-2.16049803,-2.304786625
2006-9-15,-1.809467084,-1.979364495,-1.415172097,-2.231568268,-2.115278424,-1.871073677,-1.952710123,-2.409946869,-1.892626074,-2.105330475,-1.878386521,-1.766606289,-1.618938853,-2.004830026,-2.142332057,-1.977528363,-1.730513936,-2.190267918,-1.611661579,-1.7539894,-2.792689433,-2.013605607,-1.807272247,-2.220593967,-2.050717796,-2.107471559,-1.928266915,-2.161906049,-2.258317531
2006-9-22,-1.8248503,-2.032524108,-1.40006326,-2.265038418,-2.182491547,-1.899965822,-2.015939855,-2.464175503,-1.965863558,-2.130067328,-1.927089558,-1.773148356,-1.640369848,-2.021356307,-2.152516122,-2.029314466,-1.748631201,-2.193497637,-1.637848643,-1.780791972,-2.908538045,-2.027911318,-1.797447604,-2.245347331,-2.130321571,-2.119934617,-1.954401427,-2.173634499,-2.286423241
2006-9-29,-1.112546268,-1.754023495,-1.267286425,-1.814508791,-1.787611579,-1.70494178,-1.809015638,-2.338514879,-1.689153482,-1.883414017,-1.688832007,-1.610333452,-1.50652866,-1.59682885,-2.161541885,-1.673116382,-1.618929985,-1.837766321,-1.18188403,-1.440075885,-2.839033672,-1.84415613,-1.465767076,-2.196085634,-1.839203615,-1.78321038,-1.728467445,-1.834007356,-2.14375447
2006-10-13,-1.841837764,-1.68443056,-1.174961773,-1.801006367,-1.842837121,-1.700183152,-1.746959392,-2.290549771,-1.654774427,-1.968168926,-1.777580361,-1.626746346,-1.464866322,-1.606620858,-2.092765978,-1.635324341,-1.608129019,-1.915079214,-1.335430791,-1.487091087,-2.779521777,-1.81563566,-1.481406375,-2.197394833,-1.880056799,-1.818683162,-1.575349328,-1.804388593,-2.110768818
2006-10-20,-1.860456999,-1.616104611,-1.198087758,-1.748490172,-1.84303409,-1.704522322,-1.741651928,-2.22910238,-1.61668531,-1.91906887,-1.796953801,-1.599677148,-1.376489395,-1.60406369,-1.999240283,-1.526600479,-1.691817161,-1.932262691,-1.316317805,-1.465679341,-2.58402396,-1.812607797,-1.493071084,-2.02277712,-1.857246899,-1.852212041,-1.563273234,-1.802570181,-2.168108396
2006-10-27,-1.790237578,-1.673023299,-1.290926305,-1.815527834,-1.862086771,-1.808762846,-1.966067758,-2.397242301,-1.772303701,-2.065199445,-1.874602562,-1.525128678,-1.5560619,-1.69762694,-1.98719916,-1.741006591,-1.826036081,-2.020492177,-1.301569044,-1.577776672,-2.384274949,-1.85634535,-1.464794949,-2.10404761,-1.811779644,-1.788074234,-1.795974901,-1.832148342,-2.329818347
