date,CI005101.WI,CI005102.WI,CI005104.WI,CI005105.WI,CI005106.WI,CI005107.WI,CI005109.WI,CI005110.WI,CI005111.WI,CI005113.WI,CI005117.WI,CI005122.WI,CI005124.WI,CI005127.WI,CI005129.WI,CI005133.WI,CI005134.WI,CI005135.WI,CI005136.WI,CI005137.WI,CI005138.WI,CI005139.WI,CI005140.WI,CI005143.WI,CI005144.WI,CI005145.WI,CI005146.WI,CI005152.WI,CI005153.WI,CI005154.WI,CI005155.WI,CI005156.WI,CI005160.WI,CI005162.WI,CI005163.WI,CI005164.WI,CI005165.WI,CI005166.WI,CI005168.WI,CI005170.WI,CI005171.WI,CI005172.WI,CI005173.WI,CI005178.WI,CI005181.WI,CI005185.WI,CI005187.WI,CI005188.WI,CI005189.WI,CI005190.WI,CI005191.WI,CI005192.WI,CI005193.WI,CI005194.WI,CI005195.WI,CI005196.WI,CI005197.WI,CI005198.WI,CI005199.WI,CI005800.WI,CI005801.WI,CI005802.WI,CI005803.WI,CI005804.WI,CI005805.WI,CI005806.WI,CI005807.WI,CI005808.WI,CI005809.WI,CI005810.WI,CI005811.WI,CI005812.WI,CI005813.WI,CI005814.WI,CI005815.WI,CI005816.WI,CI005817.WI,CI005818.WI,CI005819.WI,CI005820.WI,CI005821.WI,CI005822.WI,CI005823.WI,CI005824.WI,CI005825.WI,CI005826.WI,CI005827.WI,CI005828.WI,CI005829.WI,CI005830.WI,CI005831.WI,CI005832.WI,CI005833.WI,CI005834.WI,CI005835.WI,CI005836.WI,CI005837.WI,CI005838.WI,CI005839.WI,CI005840.WI,CI005841.WI,CI005842.WI,CI005843.WI,CI005844.WI,CI005845.WI,CI005846.WI,CI005847.WI,CI005848.WI,CI005849.WI
2006-4-7,,-0.397416758,-0.801319411,-2.095782494,1.455302046,1.667382339,-2.651385239,-2.173034221,-2.62975291,-0.933226241,-1.008674911,-0.649586379,-0.850201936,-2.341981995,-2.914441319,-0.172183144,-2.708288871,,-2.576091042,-1.568186267,-2.207107348,-3.200242794,-3.280748626,-1.87750116,-2.243949518,-1.699861571,-1.31566022,-1.114078166,-1.89100519,-2.143696473,-1.809642616,-1.225350188,-1.620136904,-3.155254926,,0.61150703,-2.39416114,,-0.32860898,-2.66413317,-0.488565832,-1.649331034,-0.926728158,-2.705938089,-1.893751041,-2.069797635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-4-14,,0.051658792,-0.399461317,-1.851332828,1.264675288,0.949125839,-2.558540483,-2.185763983,-1.988515084,-1.012607404,-0.721889537,-0.504517695,-0.543473577,-2.185276936,-2.080837498,0.314357671,-2.278493426,,-2.047367786,-0.899590864,-2.04821103,-2.937322047,-1.798421023,-2.082868054,-1.010487076,-1.305901049,-1.915080164,-0.745865431,-0.737951943,-2.110216701,-1.654675273,-1.115347581,-1.49588047,-3.448920922,,0.42054309,-2.411512069,,-0.076033669,-2.651839575,-0.254204237,-1.16833618,-0.342973174,-2.341296715,-1.988584971,-2.089916427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-4-21,,0.863024825,-0.33230028,-2.001698566,1.032630495,1.86466795,-2.336260947,-1.847234859,-1.324116284,0.089193123,-1.017675758,-0.315342617,0.061035615,-2.261488059,-1.892246152,0.448831794,-1.546927328,,-2.089992054,-0.862304469,-1.92365052,-3.109812245,-2.077239393,-1.726941374,-2.121911627,-1.73275389,-2.003020897,-0.734094544,-0.566027697,-1.907488095,-1.536944759,0.62360437,-1.15679905,-3.434629477,,0.253996897,-2.147389882,,-0.027373796,-2.630891183,-0.041168376,-1.158333619,-0.33984333,-2.38528439,-1.434853761,-2.091676391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-4-28,,0.872325419,0.933897488,-1.98468839,0.189720696,2.654240324,-2.266855277,-0.824402475,-1.034241994,0.442027303,-0.952490765,-0.172424738,0.326613682,-2.261023209,-1.536286066,1.156558081,-2.540955056,,-2.115741071,-0.969349766,-1.698750785,-2.390436287,-2.167254344,-1.366949259,-2.269716506,-1.486987264,-2.006873938,-0.427842627,-0.722671323,-1.864911994,-1.492292388,0.900808772,-1.278486102,-3.535313541,,1.137784327,-1.282129354,,0.123530816,-2.072011072,-0.629351706,-0.669072425,-0.006323959,-2.379695213,-1.263692361,-2.105559125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-5-12,,1.683728705,1.077171345,-1.230790506,0.566740129,2.776900741,-0.688091458,-0.350695809,-0.327943779,1.879553525,0.365526993,1.117978118,2.566372506,-1.295056809,-0.51359847,1.885149671,-2.683321102,,-1.076025721,0.039940228,-0.194091334,1.86759859,-1.193635113,-0.639332356,-0.027849999,-0.549285104,-1.682215851,0.977054435,0.271171416,-1.345187977,-0.732482923,1.67264722,-0.239926678,-2.955595124,,2.036980597,-1.252976746,,0.954729376,-0.828751,0.344340787,0.471435268,0.992010693,-2.091764168,-0.437960434,-2.059051864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-5-19,,1.949674626,1.960994494,-0.5817762,1.445709722,1.696995544,0.201127604,-0.336606431,1.579968799,2.792531783,0.306486761,2.186171963,1.218444299,-0.776983378,0.148076744,2.356413925,0.996437367,,-0.236725537,0.67858128,0.155205387,1.351852677,0.186182628,-0.584645212,1.080392568,1.827339354,-0.162152777,1.579377426,0.857132373,-0.607074561,0.290236202,2.268052311,-0.163205604,-1.90282079,,2.093191923,0.411601404,,0.386055019,-0.226325648,0.885517075,0.725936175,1.857150129,-0.674447368,1.052913425,-1.544741412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-5-26,,1.410357207,-0.161616133,-0.019912135,0.848852088,0.065047092,-0.883428596,-1.450811513,1.123954848,1.500668742,0.531539115,0.374634948,0.38857019,-0.905613653,0.052311402,1.258615222,1.353274529,,-0.425168026,0.20336335,-0.342148953,1.872365586,-0.126984182,-1.138413397,1.399691682,1.073310482,-1.029082184,0.71732729,0.391878694,-0.882944516,-0.491022613,0.399428129,-0.429506521,-3.14517265,,1.795974998,0.153082633,,-0.185602034,-1.412435654,-0.333991292,-0.186116675,1.24460343,-0.549379491,-0.726885096,-1.454208742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-6-2,,0.321164411,-0.471110821,-0.133959558,-0.041117037,-0.71240902,-0.360320898,-0.498829033,0.892245524,0.493945455,1.780371238,0.900209261,2.280172641,-0.285673469,-0.125053979,1.689525976,3.406073606,,-0.111876691,1.644048535,0.196646431,4.119465302,1.049874214,0.864415068,1.804126959,1.074524027,-0.716115421,0.921386324,1.391442866,0.121945541,-0.646200446,-1.059175982,-0.478032159,-2.281935276,,0.778056956,-0.14233831,,0.375764259,-0.082829161,1.109717201,0.722827559,1.052837125,-0.288113019,-1.007927824,-0.836888656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-6-9,,-0.406056808,-0.510565336,-0.853579526,-0.779189531,-0.379602693,-1.162943744,-0.830296886,0.235782017,0.263549846,2.110380237,-0.49325929,1.08008555,-0.206180873,-1.385423718,0.834509034,2.470685632,,-0.334278195,0.859640202,-1.136995536,1.631342124,0.46693837,0.360689595,1.726951425,0.857886094,-1.64339165,0.128079404,-0.339110642,-0.744371517,-1.352345484,-1.511347468,-0.286313673,0.279113634,,0.755223956,-1.006785376,,-0.151285592,-1.079796018,1.941130153,0.84072526,1.589329272,-0.421878783,-1.130639788,-1.052959231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-6-16,,-0.763168064,-1.377101943,-1.646400835,-0.116237995,-0.373956071,-2.340327817,-2.293893062,-1.276449874,-1.183172101,0.389814874,-1.564525056,0.469112082,-1.690067891,-2.003427757,-0.148681202,0.856359687,,-0.457389706,-0.538245361,-1.828782833,-2.32273187,-1.600680316,-0.538682479,-2.186431795,0.058217936,-1.954053253,-1.532670733,-1.43655569,-1.676707521,-0.750621419,-2.664864491,-1.762515151,-0.283508601,,-0.416874939,-1.371604039,,-1.808401289,-2.478008286,0.75705578,-0.31369154,-0.49934943,-2.151674555,-1.272227961,-1.535113577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
