dateline,CI005101.WI,CI005102.WI,CI005104.WI,CI005105.WI,CI005106.WI,CI005107.WI,CI005109.WI,CI005110.WI,CI005111.WI,CI005113.WI,CI005117.WI,CI005122.WI,CI005124.WI,CI005127.WI,CI005129.WI,CI005133.WI,CI005134.WI,CI005135.WI,CI005136.WI,CI005137.WI,CI005138.WI,CI005139.WI,CI005140.WI,CI005143.WI,CI005144.WI,CI005145.WI,CI005146.WI,CI005152.WI,CI005153.WI,CI005154.WI,CI005155.WI,CI005156.WI,CI005160.WI,CI005162.WI,CI005163.WI,CI005164.WI,CI005165.WI,CI005166.WI,CI005168.WI,CI005170.WI,CI005171.WI,CI005172.WI,CI005173.WI,CI005178.WI,CI005181.WI,CI005185.WI
2006-4-7,,-3.140398369,-2.1175499,-3.156171124,-0.311629207,-0.602673141,-3.327901378,-3.087980654,-4.787609013,-2.875497628,-1.805470537,-2.135652524,-3.030684101,-2.678915082,-2.141666213,-2.915795892,-3.124735566,,-5.280409488,-2.845687349,-2.6082345,-3.521117927,-2.819616086,-2.6911486,-2.408543126,-3.66632739,-4.410328157,-2.764210743,-2.507525264,-2.847367907,-3.536720793,-1.959098089,-3.300004299,-3.381222541,,-4.225076949,-2.300094391,,-1.714196513,-2.670183783,-1.956117818,-2.308682122,-3.979435677,-2.735121853,-2.983153506,-2.915843023
2006-4-14,,-2.742440269,-1.667464525,-2.48814057,-0.22682867,-1.36786114,-3.412314964,-3.063143353,-4.295173326,-3.16334795,-1.597871069,-2.107674727,-3.026515136,-2.572976425,-2.433630709,-2.526631384,-2.907064468,,-5.249989363,-2.25062677,-2.560293625,-3.393440958,-2.148446149,-3.448690132,-1.537206786,-3.49510679,-4.476730549,-2.278329346,-1.593357689,-2.737584211,-3.24174483,-2.782560134,-3.148818328,-3.503863082,,-4.216646512,-2.322101787,,-1.697474086,-2.866627106,-2.027457987,-2.104043989,-3.421950773,-2.384272762,-2.945140555,-2.864163574
2006-4-21,,-2.223534474,-2.019030395,-2.945658023,-0.672301609,-0.54583353,-3.31391192,-2.230622709,-3.930835246,-2.323156304,-2.36302207,-1.95214128,-2.987732334,-2.763486809,-2.578386807,-2.795901383,-2.679553648,,-5.300985446,-2.452173246,-2.471274108,-3.352924642,-2.576003542,-3.289686446,-2.470942304,-3.890095715,-4.219138709,-2.567995933,-2.013015728,-2.68313758,-3.152492274,-1.929473709,-2.730226567,-3.613681572,,-4.159469491,-2.342788442,,-1.977997017,-3.104359613,-2.170367458,-2.393824343,-3.789663707,-2.639486034,-2.795139947,-3.034501915
2006-4-28,,-2.303823339,-0.829582629,-2.856713839,-1.299702741,0.604607152,-3.29470173,-0.758965955,-3.868982223,-2.267510072,-2.364376567,-1.933061943,-2.609731958,-2.716649156,-2.084247583,-2.29109077,-3.098052586,,-4.556015506,-2.681162035,-2.347668823,-2.861101602,-2.636718337,-3.014269816,-2.527588745,-3.836177573,-4.312367662,-2.297169822,-2.062766317,-2.72514818,-3.073162916,-1.923885285,-3.371763842,-3.695393299,,-3.582155342,-2.260278974,,-1.82857812,-2.277717022,-2.350146176,-1.931852777,-3.668707465,-2.639839371,-2.608726699,-3.005038131
2006-5-12,,-1.4366648,-0.965183412,-1.871257879,-1.279242587,0.306550802,-1.83716704,0.576276299,-3.383801958,0.722820022,-1.249924133,-0.880575303,-1.06013394,-2.144421806,-0.921928825,-1.000354766,-3.10971804,,-3.572326176,-2.082449455,-1.00772817,-0.622400188,-1.944189516,-2.625448794,-2.116402103,-3.571322368,-3.199482713,-0.835435531,-1.129699092,-2.235016834,-2.275393234,-0.588801684,-1.177002525,-2.906972119,,-2.76200991,-2.270866712,,-1.07751034,-0.523744028,-1.728538347,-0.627128948,-2.784772487,-2.232337951,-2.290223359,-2.038750195
2006-5-19,,-1.113899829,-0.110134002,-1.527868685,-1.162244547,0.227715761,-0.964174288,0.321801297,-1.781646496,1.667451142,-0.772178213,0.302110454,-1.970196794,-1.862879644,-0.772556513,0.357093551,-0.496025122,,-3.085690605,-1.494821557,-0.654641288,-0.725784919,-0.122907072,-2.91849339,-1.313034768,-2.199555346,-0.791419945,-0.129346682,-0.686521353,-1.664591133,-1.619287999,0.463850803,-0.769022394,-2.094253961,,-2.686519053,-3.111976322,,-0.876840656,0.7940153,-1.435149521,-0.612431398,-0.902623722,-1.056543427,-1.424884812,-1.198820569
2006-5-26,,-1.61409583,-1.810977826,-1.386698145,-1.357674332,-0.958546154,-2.653970998,-0.905884736,-2.383957615,-1.57138335,-1.353237451,-1.090984173,-2.524279475,-2.025492478,-1.242231554,-2.042218413,-1.975940988,,-3.160536349,-1.832691822,-1.660551412,-0.816819004,-1.170044919,-2.832542243,-1.350979718,-2.755477657,-2.774492951,-1.433226828,-1.541007376,-2.233581663,-2.574440578,-1.826296068,-1.361184249,-2.911371972,,-2.991425411,-2.505565027,,-1.333981264,-1.359005491,-2.15651258,-1.951967587,-2.493892885,-1.14465392,-2.536838904,-1.945791693
2006-6-2,,-1.621772132,-1.995831733,-1.601672966,-2.689845874,-1.183450499,-2.464502071,-0.407694218,-2.203416607,-1.578360197,-0.59521596,-0.481025982,0.130024057,-1.836258931,-1.417281773,-0.387630632,0.014843801,,-1.488156058,-1.056055082,-1.268756488,0.596666058,-1.1529693,-2.085793302,-1.277151066,-2.175881086,-2.336001487,-1.094224324,-1.335765739,-1.698659749,-2.561577472,-1.673796748,-0.310042183,-1.909819972,,-3.211812721,-2.34293047,,-1.301563724,-0.980095386,0.024631839,-1.580566408,-2.279702245,-1.055169329,-2.3240642,-1.099621916
2006-6-9,,-1.851464517,-1.979202155,-2.09790404,-2.702835144,-1.277592745,-2.386200943,-0.745731899,-2.320888194,-1.50235397,-0.196795475,-1.461675493,-0.778257646,-1.683446966,-1.772321843,-0.231759994,-1.131770792,,-1.643100395,-1.232010793,-1.784461557,-0.942372947,-1.250191594,-2.775875786,-1.289338121,-2.324137118,-2.525064218,-1.279214099,-1.550972696,-1.986964643,-2.708962745,-2.225227852,-0.507623338,-1.935051946,,-3.151872717,-2.448557714,,-1.34210453,-1.289537539,0.547986054,-1.280108994,0.407975723,-0.767627464,-2.441337762,-1.374442138
2006-6-16,,-2.063557849,-2.266676482,-2.270895906,-1.550384304,-1.425169818,-2.843593278,-1.713203553,-2.822263712,-2.167477787,-1.99804747,-1.988510836,-1.007581627,-2.570033264,-1.972453119,-1.942969272,-2.709986768,,-1.863454778,-2.3044724,-2.090599481,-2.341642643,-2.112679456,-3.04160652,-2.340597589,-3.013376207,-2.773084624,-2.15559676,-2.123010674,-2.475798198,-2.573651794,-2.235305007,-1.947134108,-2.710014978,,-3.294842469,-2.576753118,,-1.903639809,-2.148969945,-0.325694552,-2.280503475,-0.576686164,-2.313632187,-2.688801151,-2.248593994
