dateline,CI005101.WI,CI005102.WI,CI005104.WI,CI005105.WI,CI005106.WI,CI005107.WI,CI005109.WI,CI005110.WI,CI005111.WI,CI005113.WI,CI005117.WI,CI005122.WI,CI005124.WI,CI005127.WI,CI005129.WI,CI005133.WI,CI005134.WI,CI005135.WI,CI005136.WI,CI005137.WI,CI005138.WI,CI005139.WI,CI005140.WI,CI005143.WI,CI005144.WI,CI005145.WI,CI005146.WI,CI005152.WI,CI005153.WI,CI005154.WI,CI005155.WI,CI005156.WI,CI005160.WI,CI005162.WI,CI005163.WI,CI005164.WI,CI005165.WI,CI005166.WI,CI005168.WI,CI005170.WI,CI005171.WI,CI005172.WI,CI005173.WI,CI005178.WI,CI005181.WI,CI005185.WI
2006-4-7,,-1.096324717,-1.400796758,-1.26914643,1.620359888,1.668815713,-1.943200623,-1.441428598,-1.169433373,-1.384638613,-1.804953752,-2.10096747,-0.459496812,-1.918031509,-1.682245226,0.549575592,-2.095210201,,-1.928552234,-1.669502352,-1.514199879,-2.190790254,-1.823600497,-1.850745038,-2.103681881,-1.677390004,-1.971414298,-2.371893983,-1.848760711,-1.739381238,-1.976152106,-0.300538535,-2.132324296,-2.414805793,,-0.927845685,-0.546543842,,-0.112523769,-1.973715423,-1.875169457,-1.006990987,-1.212551093,-2.235058483,-1.643531794,-1.969347572
2006-4-14,,-0.612296823,-1.418181499,-1.271105673,0.7676692,0.810354742,-2.007550423,-1.453764101,-1.29987335,-1.351113472,-1.790487154,-2.121379074,-0.713341165,-1.896626721,-1.69998117,0.913848542,-2.189397212,,-1.887986311,-1.435370436,-1.550974265,-2.251521906,-1.814233914,-1.811164288,-2.125123596,-1.334972992,-1.933246599,-2.34273345,-1.425647397,-1.752631308,-1.986309408,-0.228607191,-2.128941808,-2.393376842,,-0.71242768,-0.005459318,,-0.270926998,-1.992816624,-1.882184871,-1.08778074,-1.365610916,-2.261995823,-1.676448855,-2.032148766
2006-4-21,,0.102459209,-1.369048911,-1.291183807,2.079540695,1.882602114,-1.777446425,-1.710270456,-1.309636312,-1.25234144,-1.800158795,-2.035950582,-0.435349349,-1.709536477,-1.708083818,1.232148991,-1.920335896,,-1.955472469,-1.482362033,-1.562326878,-2.262739168,-1.847711519,-1.584060679,-2.136568421,-1.272897141,-1.729483722,-2.371431147,-1.133492594,-1.736136664,-2.008573825,1.592932816,-2.184859667,-2.441484925,,-0.686541592,1.421828808,,-0.34118951,-1.981352675,-1.782109627,-1.063177595,-1.089998269,-2.279790726,-1.676987718,-2.040917092
2006-4-28,,0.231439213,-1.311916693,-1.244884244,2.400092881,2.615893636,-1.649755084,-1.696051995,-1.182053683,-1.144223141,-1.656976057,-1.92020319,0.088758226,-1.40980957,-1.735741538,2.257182948,-1.652945151,,-1.896765818,-1.371531473,-1.444975916,-2.310550427,-1.857199631,-1.38749179,-2.12686123,-1.378308224,-1.609991712,-2.167191384,-1.093515446,-1.591343997,-1.934186502,2.244911773,-2.077600903,-2.465917621,,-0.187010138,2.880849327,,-0.504871871,-2.048189036,-1.776208599,-1.050496805,-1.1428064,-2.027217232,-1.693815303,-1.806655972
2006-5-12,,1.54066552,-1.129564513,-1.325133516,4.254426012,4.850882332,-1.850918192,-1.488002588,-1.371098855,-0.558191357,-1.149026271,-1.612599541,1.336081917,-0.917570671,-1.701712659,3.827019948,-1.555865292,,-1.597193366,-0.499290652,-1.440672257,-2.013826812,-1.85403229,-1.03813054,-2.186287718,-1.048271466,-1.97387565,-1.550596867,0.046473773,-1.313115228,-1.65266256,3.835704302,-1.705067003,-2.56973566,,0.149507928,4.244136662,,-0.285017745,-2.05773716,-1.367653066,-1.261560859,-1.426593649,-1.840037075,-1.719236881,-1.911623358
2006-5-19,,1.46686854,-0.940306104,-1.408688709,5.058006695,2.33869891,-1.677058356,-0.918063172,-1.434296593,0.817759875,-0.919515122,-1.138379117,1.464336968,-0.464106923,-1.531827334,5.43594435,-0.823967197,,-1.06286315,0.450191589,-1.095172835,-1.682334882,-1.620945489,-0.980863002,-1.887243166,-0.567309921,-2.132127832,-0.278261333,0.599322051,-0.775121645,-1.111776969,4.672175376,-1.278449242,-2.002263552,,0.104643057,6.363674823,,-0.011405092,-1.869541972,-1.092381113,-1.300767207,-1.584134576,-1.629366956,-1.37751601,-1.616906279
2006-5-26,,0.973070173,-1.020696742,-1.464739361,2.511181644,0.801829216,-1.779562354,-1.183446415,-1.484565301,0.486202413,-0.946061657,-1.422499103,1.034222385,-0.299257656,-1.432018463,2.153997944,-0.813217288,,-1.609297382,0.157317385,-1.206544624,-1.254430108,-1.475392042,-1.406063775,-1.668432654,-0.815984135,-2.170844302,-0.675556548,-0.131203739,-0.740370416,-1.113346971,1.312978885,-1.391888541,-2.016921903,,0.180372962,3.272491999,,0.126753872,-1.731596484,-1.27714192,-1.318400927,-1.568110131,-1.566352058,-1.613137221,-1.605438278
2006-6-2,,0.695868077,-0.929953813,-1.470992329,2.062694776,0.502483179,-1.572207135,-0.654525325,-1.428257827,0.958659298,-0.274016326,-0.827976692,1.763754273,1.131879992,-1.076020455,3.722282514,0.857021585,,-0.429567993,1.672746981,-0.601177558,-0.205847258,-0.797941201,-0.831710753,-0.763962783,-0.277117558,-2.096250697,0.334538057,0.162579777,0.447838329,-0.539552155,1.932007248,-0.681981327,-0.994805108,,-0.111541698,3.783853986,,0.261661459,-1.235671388,-0.280110673,-1.350379558,-1.664111032,-0.963029758,-1.528588887,-1.033983354
2006-6-9,,-0.1094419,-1.260962699,-1.495789146,1.068982703,-0.243907152,-1.898734625,-1.408493494,-1.54824987,-0.14427547,-1.092073303,-1.674602158,0.236662422,-0.667366545,-1.66591376,1.211236947,0.884821248,,-0.613475698,0.132716585,-1.386861799,-1.649615361,-1.423156103,-1.447177657,-1.707140899,-1.252545363,-2.280407246,-0.932917384,-1.004552086,-0.490183121,-1.127931622,0.328287935,-1.386931183,-2.158597119,,-0.78113426,0.946532104,,-0.38738755,-1.530232839,-0.811039075,-1.373205005,-1.667897951,-1.235359905,-1.731672504,-1.561344579
2006-6-16,,-0.102529245,-1.293796111,-1.509090961,-0.636782071,-0.170979844,-1.863242973,-1.205209281,-1.568076827,0.025965558,-0.883175944,-1.41496945,0.865847626,-0.367726183,-1.564445888,1.348433879,0.363173753,,-0.411826718,0.907965146,-1.264482753,-1.345720358,-1.404832854,-1.229275819,-1.30348918,-0.723425762,-2.274778197,-0.61574712,-0.692957744,0.04046781,-0.166127746,0.846780931,-0.825416802,-1.795951179,,-0.750909962,1.083740577,,-0.126408078,-1.412631367,-0.463619663,-1.384456442,-1.689159781,-1.16832459,-1.632603018,-1.44648693
