date,CI005101.WI,CI005102.WI,CI005104.WI,CI005105.WI,CI005106.WI,CI005107.WI,CI005109.WI,CI005110.WI,CI005111.WI,CI005113.WI,CI005117.WI,CI005122.WI,CI005124.WI,CI005127.WI,CI005129.WI,CI005133.WI,CI005134.WI,CI005135.WI,CI005136.WI,CI005137.WI,CI005138.WI,CI005139.WI,CI005140.WI,CI005143.WI,CI005144.WI,CI005145.WI,CI005146.WI,CI005152.WI,CI005153.WI,CI005154.WI,CI005155.WI,CI005156.WI,CI005160.WI,CI005162.WI,CI005163.WI,CI005164.WI,CI005165.WI,CI005166.WI,CI005168.WI,CI005170.WI,CI005171.WI,CI005172.WI,CI005173.WI,CI005178.WI,CI005181.WI,CI005185.WI
2006-4-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-4-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-4-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-4-28,,-2.657996568,-2.563016154,-3.288172451,-1.76326096,-1.551375767,-2.336880712,-2.36307863,-2.943265273,-1.86449721,-1.921260787,-2.728523095,-2.907531825,-2.488447418,-2.27564209,-2.827419013,-2.894278756,,-2.770700116,-1.819700747,-2.391691591,-2.409949098,-1.709170102,-2.148440865,-2.461065502,-3.677721474,-1.831562717,-2.670334679,-2.474421681,-2.369087379,-2.529324201,-1.776955869,-2.33990444,-2.007136981,,-2.635890739,-2.527314609,,-2.176097667,-1.945090533,-2.513277544,-2.085403378,-3.318527196,-1.964266539,-2.763132837,-1.669511652
2006-5-12,,-2.530309589,-2.510465134,-3.298716556,-1.689153174,-1.052449465,-2.262270738,-1.854381239,-2.86095111,-1.880643576,-1.942907963,-2.520775573,-2.699610229,-2.475380862,-1.956747471,-2.581222312,-2.924768026,,-2.730991336,-1.633228169,-2.308550396,-2.569694273,-1.646951688,-2.157092439,-2.321920757,-3.371080616,-1.681579151,-2.623644234,-2.157560607,-2.335041778,-2.541144963,-1.49443116,-2.179790059,-1.783378897,,-2.630105115,-2.259125364,,-1.740503377,-1.720934682,-2.192143909,-1.974760956,-3.289250379,-1.966169853,-2.330747769,-1.80900067
2006-5-19,,-2.012732309,-2.248393451,-3.341658661,-1.749585748,-0.52614535,-1.852454346,-1.378237881,-2.531608152,-1.880467119,-1.902719148,-2.586771425,-2.681633317,-2.495455931,-1.960632859,-2.403158905,-2.580924722,,-2.628442089,-1.613637186,-1.838704112,-2.512410954,-1.524836449,-2.146264243,-2.33313342,-3.408900047,-1.714636148,-2.161551871,-2.285228733,-2.244786858,-2.553913088,-1.249056663,-2.101779829,-1.618091562,,-2.68238757,-2.046081921,,-1.552937851,-1.53209457,-2.177614444,-1.92449429,-3.309191176,-1.901095229,-2.057845593,-1.792534359
2006-5-26,,-1.929199648,-1.898975207,-3.239234825,-1.722292988,0.015412623,-1.587037699,-1.565459763,-2.028092896,-1.722263058,-1.645255098,-2.357834466,-2.410223946,-2.228712149,-1.413016682,-1.387325568,-1.766210411,,-2.330924508,-1.321290542,-1.186533666,-2.480625548,-1.224188857,-1.988554552,-2.263841576,-3.076026282,-1.60029684,-1.513165113,-1.813968448,-1.688443946,-2.429400442,-0.739286716,-1.841824544,-1.450062777,,-2.571483985,-1.717132917,,-1.319008451,-1.387708649,-1.659306658,-1.729338452,-3.272780452,-2.125006956,-1.673715817,-1.677446939
2006-6-2,,-1.744276603,-1.933111434,-3.189015539,-1.639181167,-0.244779039,-1.35883812,-1.306825123,-2.071528626,-1.663891579,-1.423572149,-1.987739855,-2.280166679,-1.653940954,-1.316201121,-0.662100919,-0.9926496,,-2.100932592,-1.488902243,-1.095075677,-2.482435749,-1.37288705,-1.735371278,-2.323057355,-3.089725739,-1.647403004,-1.357532033,-1.585984554,-1.493489502,-2.406626738,-0.20757262,-1.813702601,-1.85914487,,-2.894281189,-1.832754996,,-1.345309505,-1.711010962,-1.455325139,-1.621082614,-3.236563033,-2.135450566,-1.826999321,-1.742021957
2006-6-9,,-1.994220382,-1.590306678,-3.07113322,-1.685947177,-0.519126286,-1.180018119,-0.731137351,-1.535738476,-1.237664114,-0.472979269,-1.103303535,-1.94485842,-0.336913493,-0.62601585,0.44913008,-0.356331574,,-1.704434666,-0.878531985,-0.343491469,-1.876246216,-0.478615193,-1.221659014,-1.439807975,-2.490623595,-1.119601819,-0.766575522,-1.166955868,-0.815742703,-2.040918511,-0.195986597,-1.260688361,-1.415129901,,-2.922636279,-1.706765134,,-1.45401621,-1.401989689,-0.864160867,-1.542461929,-3.044966346,-1.523977572,-1.736055773,-1.077142852
2006-6-16,,-2.20938777,-1.994755055,-3.053407641,-0.172422093,-0.738912261,-1.73540516,-1.076271447,-1.774916609,-1.62909673,-0.855133483,-1.206521496,-2.1477007,-0.797990346,-1.014504733,-0.396579641,-0.979366384,,-1.751769598,-0.996520842,-1.234515391,-2.042934286,-0.999767837,-1.313394942,-1.649576607,-2.506604974,-1.331078775,-1.64272324,-1.253500587,-1.276991152,-2.291956893,-0.68040116,-1.382137549,-1.551523847,,-2.928800877,-2.046313606,,-1.673328617,-1.639542121,-1.011848672,-1.62801751,-2.985089739,-1.507855049,-1.997936669,-1.299376859
2006-6-23,,-2.170978553,-2.057590673,-3.110823605,0.130232106,-0.996959675,-1.847739731,-1.528499293,-2.077686386,-1.814972315,-1.291406975,-1.569077011,-2.316338292,-1.31803707,-1.688406054,-0.837018405,-1.320174432,,-1.953284477,-1.339511822,-1.610283536,-2.125386994,-1.404575808,-1.535084906,-1.836350491,-2.821551413,-1.500089154,-1.934970946,-1.50605876,-1.83798902,-2.410565233,-0.73391393,-1.720552036,-1.569982482,,-2.990757079,-2.163208781,,-1.817024079,-1.612380533,-1.574385099,-1.788155961,-3.071106567,-1.746976706,-2.152960972,-1.474602884
2006-6-30,,-2.092885103,-2.073596932,-3.117193328,0.123266408,-1.08451927,-1.839592162,-1.624060508,-2.105321321,-1.763136915,-1.34060322,-1.718154703,-2.056468852,-1.761725124,-1.724745396,-1.528651054,-1.653712227,,-2.059239336,-1.401775174,-1.61009257,-2.279946913,-1.477571582,-1.553450821,-1.857294034,-2.683860893,-1.542091466,-1.924521533,-1.594055757,-1.90591466,-2.326174424,-1.083631294,-1.670547818,-1.686387173,,-2.922010073,-2.056586887,,-1.776633585,-1.680097508,-1.773004797,-1.808986129,-3.096847812,-1.829461461,-2.079007367,-1.455327864
2006-7-7,,-2.191665346,-2.195358532,-3.110488274,0.373238565,-1.395754298,-1.989829044,-1.865704082,-2.244911213,-1.824487097,-1.71079755,-2.175128683,-2.465349741,-1.94190218,-1.735276986,-1.678777435,-1.678732732,,-2.253020927,-1.618082966,-1.776375041,-2.419225344,-1.754562096,-1.847418695,-2.316508972,-3.003472893,-1.636546144,-2.029770762,-1.978728515,-1.874387982,-2.119451167,-1.374172168,-1.922748543,-1.928584322,,-2.902988845,-2.061467714,,-1.767659745,-1.892225239,-1.875336327,-1.867752687,-3.132437041,-1.986988761,-2.127529513,-1.686055307
2006-7-14,,-2.187501988,-2.230077845,-3.125654668,-1.766823587,-1.324377976,-2.126771729,-1.964126994,-2.245934699,-1.999624749,-1.960852403,-2.212030968,-2.321173202,-2.005693627,-2.092296493,-1.491452068,-1.487909393,,-2.272366797,-1.67362245,-1.753271738,-2.412349689,-1.81943131,-1.876303166,-2.410751492,-3.150007396,-1.648537485,-2.131231734,-1.940909963,-2.073267569,-2.619854735,-1.355068567,-1.948855947,-2.127669891,,-2.881830555,-2.050041866,,-1.77503651,-1.895414121,-2.095327141,-1.880011433,-3.192135161,-2.257930598,-2.075246625,-1.745537363
2006-7-21,,-2.186254924,-2.224268638,-3.132678138,-1.680141724,-1.239914312,-2.1376828,-1.956460488,-2.229232739,-1.939041233,-1.917851659,-2.166339859,-2.083840057,-1.988227091,-2.066701661,-1.444866996,-1.612248196,,-2.265707728,-1.682595106,-1.755893641,-2.359175031,-1.856885358,-1.922473804,-2.429913772,-3.07489429,-1.656218573,-2.131902383,-1.917776804,-2.085377113,-2.649437742,-1.451974629,-1.975244776,-2.101041481,,-2.852133984,-2.02044456,,-1.674448232,-1.903611746,-2.090189176,-1.884348751,-3.221200492,-2.245665895,-2.076907933,-1.727159234
2006-7-28,,-2.192724154,-2.246109363,-3.136430966,-1.694481368,-1.265324164,-2.125151903,-1.961608398,-2.255541132,-1.913992469,-1.87174664,-2.17617709,-2.378038813,-1.978288981,-2.062492404,-1.402280834,-1.598539347,,-2.238314956,-1.68323116,-1.716585832,-2.328789895,-1.881483924,-1.949735137,-2.455009608,-3.137348302,-1.676173253,-2.152663951,-1.948663547,-2.064554406,-2.672429317,-1.458638548,-1.964309069,-2.001373429,,-2.852646138,-2.047982563,,-1.701183495,-1.853672293,-2.092750631,-1.819386865,-3.20094635,-2.269314978,-2.010381377,-1.74622673
2006-8-4,,-2.215965573,-2.261501244,-3.159509554,-1.74774691,-1.287811152,-2.094037202,-1.894315968,-2.252276088,-1.847695576,-1.716159667,-2.081836904,-2.257351189,-1.975180501,-2.019072037,-1.548943988,-1.600095044,,-2.262212817,-1.658673519,-1.698947181,-2.224972677,-1.883404098,-1.829731338,-2.443907138,-3.068679757,-1.678224885,-2.095146262,-1.927513987,-2.060911661,-2.630726858,-1.442889066,-1.858554016,-1.89150931,,-2.939242555,-2.139044133,,-1.614746302,-1.841375871,-2.051050794,-1.828137009,-3.223752453,-2.215195969,-2.148962035,-1.70417821
2006-8-11,,-2.239205483,-2.204598864,-3.137514164,-1.792363148,-1.402653037,-2.104421362,-1.986651565,-2.243022228,-2.032154699,-1.919583974,-2.228914821,-2.23124884,-2.030088222,-2.107224992,-1.756981813,-1.707000112,,-2.282720073,-1.64938511,-1.812353443,-2.480511381,-1.906124454,-2.029672497,-2.447112549,-3.179236461,-1.685185629,-2.107680584,-2.085081898,-2.078611861,-2.724776139,-1.43340491,-1.978912469,-2.163246389,,-2.912904025,-2.072757487,,-1.745139346,-1.838228053,-2.132259089,-1.876424456,-3.195200323,-2.291286014,-2.195964937,-1.748653287
2006-8-18,,-2.260012358,-2.208566129,-3.126063411,-1.810354451,-1.366752351,-2.104181362,-1.987409637,-2.232557092,-2.004873762,-1.887107061,-2.228533894,-2.190938966,-2.037233166,-2.102650049,-1.766325864,-1.67386569,,-2.271546798,-1.655891494,-1.799329244,-2.375115152,-1.852945405,-2.010957287,-2.3770552,-3.13909653,-1.689499999,-2.10262284,-2.10423985,-2.0769582,-2.750238943,-1.43785623,-1.929713429,-2.191544867,,-2.85149584,-2.047003277,,-1.72374085,-1.83382575,-2.104346861,-1.876345436,-3.158759021,-2.29696044,-2.198002879,-1.764762659
2006-8-25,,-2.287317728,-2.179064208,-3.096488666,-1.83972247,-1.357654699,-2.113161009,-2.008773586,-2.219613217,-1.99826115,-1.895411857,-2.215440696,-2.247898038,-2.041151563,-2.125412895,-1.759193322,-1.683987158,,-2.264739127,-1.655162399,-1.810972928,-2.326728596,-1.780087299,-1.995265303,-2.386389662,-3.166351113,-1.60584461,-2.096131001,-2.087299475,-2.082169572,-2.681418436,-1.449308552,-1.945839728,-2.203811889,,-2.846234582,-2.071224058,,-1.743372647,-1.851879253,-2.108260506,-1.859378843,-3.169573074,-2.26944355,-2.214165749,-1.727246357
