申万一级行业代码,申万一级行业名称,申万二级行业代码,申万二级行业名称,申万三级行业代码,申万三级行业名称
801010.SI,农林牧渔(申万),801012.SI,农产品加工(申万),850111.SI,种子(申万)
801030.SI,基础化工(申万),801014.SI,饲料(申万),850113.SI,其他种植业(申万)
801040.SI,钢铁(申万),801015.SI,渔业(申万),850122.SI,水产养殖(申万)
801050.SI,有色金属(申万),801016.SI,种植业(申万),850135.SI,食品及饲料添加剂(申万)
801080.SI,电子(申万),801017.SI,养殖业(申万),850136.SI,有机硅(申万)
801110.SI,家用电器(申万),801018.SI,动物保健Ⅱ(申万),850142.SI,畜禽饲料(申万)
801120.SI,食品饮料(申万),801032.SI,化学纤维(申万),850151.SI,果蔬加工(申万)
801130.SI,纺织服饰(申万),801033.SI,化学原料(申万),850152.SI,粮油加工(申万)
801140.SI,轻工制造(申万),801034.SI,化学制品(申万),850154.SI,其他农产品加工(申万)
801150.SI,医药生物(申万),801036.SI,塑料(申万),850172.SI,生猪养殖(申万)
801160.SI,公用事业(申万),801037.SI,橡胶(申万),850173.SI,肉鸡养殖(申万)
801170.SI,交通运输(申万),801038.SI,农化制品(申万),850181.SI,动物保健Ⅲ(申万)
801180.SI,房地产(申万),801039.SI,非金属材料Ⅱ(申万),850232.SI,汽车经销商(申万)
801200.SI,商贸零售(申万),801043.SI,冶钢原料(申万),850233.SI,汽车综合服务(申万)
801210.SI,社会服务(申万),801044.SI,普钢(申万),850322.SI,氯碱(申万)
801230.SI,综合(申万),801045.SI,特钢Ⅱ(申万),850323.SI,无机盐(申万)
801710.SI,建筑材料(申万),801051.SI,金属新材料(申万),850324.SI,其他化学原料(申万)
801720.SI,建筑装饰(申万),801053.SI,贵金属(申万),850325.SI,煤化工(申万)
801730.SI,电力设备(申万),801054.SI,小金属(申万),850326.SI,钛白粉(申万)
801740.SI,国防军工(申万),801055.SI,工业金属(申万),850331.SI,氮肥(申万)
801750.SI,计算机(申万),801056.SI,能源金属(申万),850332.SI,磷肥及磷化工(申万)
801760.SI,传媒(申万),801072.SI,通用设备(申万),850333.SI,农药(申万)
801770.SI,通信(申万),801074.SI,专用设备(申万),850335.SI,涂料油墨(申万)
801780.SI,银行(申万),801076.SI,轨交设备Ⅱ(申万),850337.SI,民爆制品(申万)
801790.SI,非银金融(申万),801077.SI,工程机械(申万),850338.SI,纺织化学制品(申万)
801880.SI,汽车(申万),801078.SI,自动化设备(申万),850339.SI,其他化学制品(申万)
801890.SI,机械设备(申万),801081.SI,半导体(申万),850341.SI,涤纶(申万)
801950.SI,煤炭(申万),801082.SI,其他电子Ⅱ(申万),850343.SI,粘胶(申万)
801960.SI,石油石化(申万),801083.SI,元件(申万),850351.SI,其他塑料制品(申万)
801970.SI,环保(申万),801084.SI,光学光电子(申万),850353.SI,改性塑料(申万)
801980.SI,美容护理(申万),801085.SI,消费电子(申万),850354.SI,合成树脂(申万)
,,801086.SI,电子化学品Ⅱ(申万),850355.SI,膜材料(申万)
,,801092.SI,汽车服务(申万),850362.SI,其他橡胶制品(申万)
,,801093.SI,汽车零部件(申万),850363.SI,炭黑(申万)
,,801095.SI,乘用车(申万),850372.SI,聚氨酯(申万)
,,801096.SI,商用车(申万),850381.SI,复合肥(申万)
,,801101.SI,计算机设备(申万),850382.SI,氟化工(申万)
,,801102.SI,通信设备(申万),850412.SI,特钢Ⅲ(申万)
,,801103.SI,IT服务Ⅱ(申万),850442.SI,板材(申万)
,,801104.SI,软件开发(申万),850521.SI,其他金属新材料(申万)
,,801111.SI,白色家电(申万),850522.SI,磁性材料(申万)
,,801112.SI,黑色家电(申万),850523.SI,非金属材料Ⅲ(申万)
,,801113.SI,小家电(申万),850531.SI,黄金(申万)
,,801114.SI,厨卫电器(申万),850544.SI,其他小金属(申万)
,,801115.SI,照明设备Ⅱ(申万),850551.SI,铝(申万)
,,801116.SI,家电零部件Ⅱ(申万),850552.SI,铜(申万)
,,801124.SI,食品加工(申万),850553.SI,铅锌(申万)
,,801125.SI,白酒Ⅱ(申万),850614.SI,其他建材(申万)
,,801126.SI,非白酒(申万),850615.SI,耐火材料(申万)
,,801127.SI,饮料乳品(申万),850616.SI,管材(申万)
,,801128.SI,休闲食品(申万),850623.SI,房屋建设Ⅲ(申万)
,,801129.SI,调味发酵品Ⅱ(申万),850702.SI,安防设备(申万)
,,801131.SI,纺织制造(申万),850703.SI,其他计算机设备(申万)
,,801132.SI,服装家纺(申万),850711.SI,机床工具(申万)
,,801133.SI,饰品(申万),850713.SI,磨具磨料(申万)
,,801141.SI,包装印刷(申万),850715.SI,制冷空调设备(申万)
,,801142.SI,家居用品(申万),850716.SI,其他通用设备(申万)
,,801143.SI,造纸(申万),850721.SI,纺织服装设备(申万)
,,801145.SI,文娱用品(申万),850725.SI,能源及重型设备(申万)
,,801151.SI,化学制药(申万),850726.SI,印刷包装机械(申万)
,,801152.SI,生物制品(申万),850727.SI,其他专用设备(申万)
,,801153.SI,医疗器械(申万),850728.SI,楼宇设备(申万)
,,801154.SI,医药商业(申万),850731.SI,仪器仪表(申万)
,,801155.SI,中药Ⅱ(申万),850741.SI,电机Ⅲ(申万)
,,801156.SI,医疗服务(申万),850751.SI,金属制品(申万)
,,801161.SI,电力(申万),850771.SI,工程机械整机(申万)
,,801163.SI,燃气Ⅱ(申万),850772.SI,工程机械器件(申万)
,,801178.SI,物流(申万),850781.SI,机器人(申万)
,,801179.SI,铁路公路(申万),850782.SI,工控设备(申万)
,,801181.SI,房地产开发(申万),850783.SI,激光设备(申万)
,,801183.SI,房地产服务(申万),850784.SI,其他自动化设备(申万)
,,801191.SI,多元金融(申万),850812.SI,分立器件(申万)
,,801193.SI,证券Ⅱ(申万),850813.SI,半导体材料(申万)
,,801194.SI,保险Ⅱ(申万),850814.SI,数字芯片设计(申万)
,,801202.SI,贸易Ⅱ(申万),850815.SI,模拟芯片设计(申万)
,,801203.SI,一般零售(申万),850817.SI,集成电路封测(申万)
,,801204.SI,专业连锁Ⅱ(申万),850818.SI,半导体设备(申万)
,,801206.SI,互联网电商(申万),850822.SI,印制电路板(申万)
,,801218.SI,专业服务(申万),850823.SI,被动元件(申万)
,,801219.SI,酒店餐饮(申万),850831.SI,面板(申万)
,,801223.SI,通信服务(申万),850832.SI,LED(申万)
,,801231.SI,综合Ⅱ(申万),850833.SI,光学元件(申万)
,,801711.SI,水泥(申万),850841.SI,其他电子Ⅲ(申万)
,,801712.SI,玻璃玻纤(申万),850853.SI,品牌消费电子(申万)
,,801713.SI,装修建材(申万),850854.SI,消费电子零部件及组装(申万)
,,801721.SI,房屋建设Ⅱ(申万),850861.SI,电子化学品Ⅲ(申万)
,,801722.SI,装修装饰Ⅱ(申万),850912.SI,商用载货车(申万)
,,801723.SI,基础建设(申万),850913.SI,商用载客车(申万)
,,801724.SI,专业工程(申万),850922.SI,车身附件及饰件(申万)
,,801726.SI,工程咨询服务Ⅱ(申万),850923.SI,底盘与发动机系统(申万)
,,801731.SI,电机Ⅱ(申万),850924.SI,轮胎轮毂(申万)
,,801733.SI,其他电源设备Ⅱ(申万),850925.SI,其他汽车零部件(申万)
,,801735.SI,光伏设备(申万),850926.SI,汽车电子电气系统(申万)
,,801736.SI,风电设备(申万),850935.SI,航海装备Ⅲ(申万)
,,801737.SI,电池(申万),850936.SI,轨交设备Ⅲ(申万)
,,801738.SI,电网设备(申万),850952.SI,综合乘用车(申万)
,,801741.SI,航天装备Ⅱ(申万),851024.SI,通信网络设备及器件(申万)
,,801742.SI,航空装备Ⅱ(申万),851025.SI,通信线缆及配套(申万)
,,801743.SI,地面兵装Ⅱ(申万),851026.SI,通信终端及配件(申万)
,,801744.SI,航海装备Ⅱ(申万),851027.SI,其他通信设备(申万)
,,801745.SI,军工电子Ⅱ(申万),851041.SI,垂直应用软件(申万)
,,801764.SI,游戏Ⅱ(申万),851042.SI,横向通用软件(申万)
,,801765.SI,广告营销(申万),851112.SI,空调(申万)
,,801766.SI,影视院线(申万),851116.SI,冰洗(申万)
,,801767.SI,数字媒体(申万),851122.SI,其他黑色家电(申万)
,,801769.SI,出版(申万),851131.SI,厨房小家电(申万)
,,801782.SI,国有大型银行Ⅱ(申万),851141.SI,厨房电器(申万)
,,801783.SI,股份制银行Ⅱ(申万),851151.SI,照明设备Ⅲ(申万)
